THPREDICTIONS POSDYU  NNPDF30_nlo_as_0118
0    2.02056e-09         8.75625e-10         
1    3.23589e-08         2.804e-09           
2    1.10029e-07         6.39179e-09         
3    1.93996e-07         1.06268e-08         
4    2.48397e-07         1.3324e-08          
5    2.77021e-07         1.42806e-08         
6    2.83595e-07         1.37961e-08         
7    2.79684e-07         1.27229e-08         
8    2.72566e-07         1.30334e-08         
9    2.70515e-07         1.29606e-08         
10   2.83137e-07         1.34471e-08         
11   2.75389e-07         1.38842e-08         
12   2.39651e-07         1.28876e-08         
13   1.92205e-07         1.05654e-08         
14   1.36258e-07         7.48469e-09         
15   8.52911e-08         5.24867e-09         
16   4.77506e-08         3.66625e-09         
17   1.92077e-08         2.11675e-09         
18   7.09501e-09         1.52001e-09         
19   2.02056e-09         8.75625e-10         
