THPREDICTIONS BCDMSP  NNPDF30_nlo_as_0118
0    0.37744             0.00500022          
1    0.381183            0.00487639          
2    0.367128            0.00442837          
3    0.368925            0.00433931          
4    0.370903            0.00425475          
5    0.358718            0.00386704          
6    0.358882            0.00380236          
7    0.358841            0.00374815          
8    0.358853            0.00370522          
9    0.358856            0.00366061          
10   0.346199            0.00391284          
11   0.344981            0.00385699          
12   0.343919            0.00380958          
13   0.342935            0.00377033          
14   0.341911            0.00373055          
15   0.340759            0.00368937          
16   0.323514            0.00410778          
17   0.321519            0.00403827          
18   0.319779            0.00397876          
19   0.317953            0.0039201           
20   0.316157            0.00386131          
21   0.314587            0.0038121           
22   0.312775            0.00375782          
23   0.311098            0.00370529          
24   0.309321            0.00365258          
25   0.293757            0.00362121          
26   0.291018            0.00354585          
27   0.2886              0.00348607          
28   0.286137            0.00342694          
29   0.283709            0.00336877          
30   0.281636            0.00332143          
31   0.279418            0.00327184          
32   0.277139            0.00322192          
33   0.274697            0.00317151          
34   0.272188            0.00312006          
35   0.269793            0.00307276          
36   0.236563            0.00321319          
37   0.233745            0.00314726          
38   0.230881            0.0030833           
39   0.228048            0.00302188          
40   0.225653            0.00297223          
41   0.223103            0.0029208           
42   0.220486            0.00286957          
43   0.217867            0.00282065          
44   0.215001            0.00276892          
45   0.212299            0.00272176          
46   0.209641            0.00267746          
47   0.162258            0.00259458          
48   0.159347            0.00253818          
49   0.156424            0.0024821           
50   0.153562            0.00242776          
51   0.151173            0.00238219          
52   0.148645            0.00233448          
53   0.14607             0.00228498          
54   0.143521            0.00223621          
55   0.140763            0.00218409          
56   0.138191            0.0021364           
57   0.1358              0.00209257          
58   0.133406            0.00204937          
59   0.131008            0.00200698          
60   0.0958188           0.00191091          
61   0.093326            0.00185838          
62   0.0909393           0.00180719          
63   0.0886163           0.00175717          
64   0.0867022           0.00171581          
65   0.0846975           0.00167246          
66   0.0826775           0.00162911          
67   0.0807025           0.0015872           
68   0.0785938           0.00154284          
69   0.0766549           0.00150271          
70   0.0748735           0.0014666           
71   0.0731128           0.00143091          
72   0.0714161           0.00139716          
73   0.0698085           0.00136554          
74   0.0466957           0.00135391          
75   0.0449896           0.00131006          
76   0.0432943           0.001268            
77   0.0419966           0.00123689          
78   0.0406246           0.00120267          
79   0.0392865           0.00116787          
80   0.0379945           0.00113305          
81   0.0366409           0.00109569          
82   0.0354195           0.0010616           
83   0.0343166           0.00103064          
84   0.0332434           0.00100049          
85   0.0322254           0.000971873         
86   0.0312748           0.000945164         
87   0.0303949           0.000920539         
88   0.0141902           0.000774411         
89   0.0135029           0.000734913         
90   0.012848            0.000698301         
91   0.0122572           0.000666636         
92   0.0117434           0.000640157         
93   0.0112541           0.000615887         
94   0.0108006           0.00059425          
95   0.010386            0.000575164         
96   0.0100094           0.000558342         
97   0.381183            0.00487639          
98   0.384969            0.0047562           
99   0.370903            0.00425475          
100  0.372345            0.00418542          
101  0.373783            0.00412507          
102  0.358841            0.00374815          
103  0.358853            0.00370522          
104  0.358856            0.00366061          
105  0.358853            0.00361827          
106  0.358803            0.00358268          
107  0.343919            0.00380958          
108  0.342935            0.00377033          
109  0.341911            0.00373055          
110  0.340759            0.00368937          
111  0.339877            0.00365613          
112  0.338935            0.00362012          
113  0.337947            0.00358304          
114  0.321519            0.00403827          
115  0.319779            0.00397876          
116  0.317953            0.0039201           
117  0.316157            0.00386131          
118  0.314587            0.0038121           
119  0.312775            0.00375782          
120  0.311098            0.00370529          
121  0.309321            0.00365258          
122  0.307385            0.00359584          
123  0.2886              0.00348607          
124  0.286137            0.00342694          
125  0.283709            0.00336877          
126  0.281636            0.00332143          
127  0.279418            0.00327184          
128  0.277139            0.00322192          
129  0.274697            0.00317151          
130  0.272188            0.00312006          
131  0.269793            0.00307276          
132  0.267507            0.00302929          
133  0.233745            0.00314726          
134  0.230881            0.0030833           
135  0.228048            0.00302188          
136  0.225653            0.00297223          
137  0.223103            0.0029208           
138  0.220486            0.00286957          
139  0.217867            0.00282065          
140  0.215001            0.00276892          
141  0.212299            0.00272176          
142  0.209641            0.00267746          
143  0.20706             0.00263499          
144  0.204513            0.00259446          
145  0.159347            0.00253818          
146  0.156424            0.0024821           
147  0.153562            0.00242776          
