THPREDICTIONS LHCBW36PB  NNPDF30_nlo_as_0118
0    711510              10579.2             
1    537034              9038.24             
2    300760              6155.99             
3    113061              3340.55             
4    24423.3             2393.03             
5    405272              6476.04             
6    352547              6011.02             
7    277972              5316.67             
8    179943              4117.06             
9    83917.6             2777.07             
