THPREDICTIONS H1HERA2HGHY  NNPDF30_nlo_as_0118
0    0.801615            0.146089            
1    0.805328            0.0865771           
2    0.807925            0.0559926           
3    0.889687            0.0369134           
4    0.903397            0.028197            
5    0.909514            0.0228413           
6    0.89127             0.0159688           
7    0.99119             0.0193536           
8    1.0066              0.0173266           
9    1.01318             0.0152887           
10   0.972728            0.0101293           
11   1.06395             0.015384            
12   1.08104             0.0144872           
13   1.08756             0.0136775           
14   1.07277             0.0118526           
15   1.01347             0.00948541          
16   0.934485            0.00797805          
17   1.13593             0.014169            
18   1.15305             0.0142406           
19   1.15878             0.0140351           
20   1.11827             0.0118791           
21   1.03505             0.00928729          
22   1.23023             0.0150499           
23   1.24482             0.0153583           
24   1.24801             0.0151865           
25   1.24483             0.0149227           
26   1.13593             0.014169            
27   1.23023             0.0150499           
28   1.24482             0.0153583           
29   1.28021             0.0156633           
30   1.29631             0.0159829           
31   1.29761             0.0158              
32   1.32946             0.0160291           
33   1.34494             0.0160216           
34   1.34665             0.0154071           
35   1.36098             0.0156171           
36   1.37593             0.0153769           
37   1.37378             0.014684            
38   1.33259             0.0128056           
39   1.21289             0.00958918          
40   1.40287             0.0140114           
41   1.39567             0.013286            
42   1.31396             0.0106172           
43   1.16998             0.00824946          
44   1.04438             0.00673481          
45   1.40484             0.0124797           
46   1.37437             0.0111777           
47   1.23742             0.00875136          
48   1.10363             0.00706621          
49   1.30492             0.0092302           
50   1.1691              0.00744938          
51   1.02052             0.00604897          
52   1.24965             0.00791727          
53   1.09566             0.006371            
54   0.952342            0.0054218           
