THPREDICTIONS HERACOMBNCEP820  NNPDF30_nlo_as_0118
0    0.627866            0.512509            
1    0.55327             0.199031            
2    0.629674            0.154953            
3    0.727323            0.109469            
4    0.720553            0.0450818           
5    0.815319            0.0464141           
6    0.819942            0.0318991           
7    0.794651            0.0204839           
8    0.893566            0.0223077           
9    0.88485             0.0163435           
10   0.964182            0.0144667           
11   0.928426            0.0101094           
12   1.06014             0.0127658           
13   1.05862             0.0112938           
14   1.00884             0.00932921          
15   1.13245             0.0127059           
16   1.10829             0.0115015           
17   1.15618             0.0128443           
18   1.1698              0.0128702           
19   1.20453             0.0136812           
20   1.21985             0.0139819           
21   1.16472             0.0115439           
22   1.25083             0.0143518           
23   1.26482             0.0145387           
24   1.24137             0.0130364           
25   1.29333             0.0146611           
26   1.28878             0.0137801           
27   1.21519             0.0111184           
28   1.27668             0.012029            
29   1.31888             0.0138685           
30   1.33989             0.0136246           
31   1.32641             0.0127159           
32   1.2286              0.00980188          
33   1.35235             0.0123668           
34   1.29911             0.0105062           
35   1.3462              0.0109085           
36   1.2333              0.00866502          
37   1.29394             0.00907391          
38   1.31611             0.00919848          
39   1.19759             0.00750598          
40   1.23929             0.00773312          
41   1.25038             0.00766673          
42   1.13554             0.0064741           
43   1.1603              0.00657736          
44   1.17077             0.00659645          
45   1.05119             0.00581217          
46   1.06613             0.00585977          
47   1.06831             0.0058508           
48   0.935174            0.00535384          
49   0.947599            0.0053811           
50   0.805882            0.00476464          
51   0.945679            0.00535296          
52   0.815584            0.00478653          
53   0.914865            0.00522706          
54   0.820611            0.00479818          
55   0.707571            0.00404808          
56   0.816955            0.00479331          
57   0.711678            0.00405201          
58   0.712047            0.00406169          
59   0.772852            0.00460414          
60   0.707593            0.00407928          
61   0.600962            0.00353189          
62   0.695324            0.00411775          
63   0.598836            0.00355459          
64   0.589036            0.00364307          
65   0.502817            0.00307931          
66   0.485191            0.00314655          
67   0.411171            0.00287835          
68   0.376074            0.0026676           
69   0.321395            0.00239966          
70   0.275621            0.00212866          
71   0.247319            0.00233072          
72   0.20372             0.00191127          
73   0.198158            0.00217713          
74   0.171842            0.00159273          
75   0.113532            0.00140318          
76   0.0712552           0.000880574         
77   0.0444465           0.000814425         
