THPREDICTIONS DYE605  NNPDF30_nlo_as_0118
0    380.762             18.9029             
1    326.947             16.9993             
2    281.579             15.2688             
3    243.816             13.7254             
4    210.267             12.3291             
5    181.818             11.0589             
6    157.286             9.77484             
7    136.361             8.63761             
8    117.938             7.59528             
9    101.94              6.72767             
10   32.8743             2.62935             
11   28.5553             2.30116             
12   24.8372             2.02697             
13   18.8367             1.61677             
14   10.8994             1.06181             
15   4.79052             0.558594            
16   1.58302             0.397269            
17   397.088             21.7634             
18   342.265             19.5342             
19   295.058             17.5884             
20   255.789             15.8667             
21   221.166             14.2492             
22   191.987             12.7751             
23   166.259             11.4276             
24   144.676             10.2412             
25   125.594             9.18055             
26   108.841             8.23628             
27   35.7604             3.13509             
28   31.1848             2.76623             
29   27.0436             2.44591             
30   20.4779             1.88243             
31   11.6907             1.18381             
32   5.07238             0.630747            
33   1.71086             0.266926            
34   0.452094            0.203215            
35   411.07              22.9244             
36   355.135             20.5435             
37   306.762             18.4435             
38   265.968             16.5728             
39   230.945             14.8918             
40   200.777             13.4527             
41   173.833             12.16               
42   151.835             10.9612             
43   131.943             9.86067             
44   114.464             8.86085             
45   38.2599             3.57526             
46   33.3857             3.14889             
47   28.9232             2.80137             
48   21.96               2.26324             
49   12.6117             1.48112             
50   5.43627             0.726093            
51   1.89264             0.295062            
52   0.520328            0.148693            
53   421.28              21.5543             
54   364.514             19.3207             
55   315.515             17.3602             
56   274.407             15.6557             
57   238.107             14.0732             
58   207.502             12.6615             
59   180.306             11.3922             
60   157.334             10.2725             
61   137.056             9.27187             
62   119.163             8.39526             
63   40.0127             3.60609             
64   34.9958             3.22238             
65   30.4317             2.88223             
66   23.1682             2.26372             
67   13.4495             1.40378             
68   6.02022             0.684594            
69   2.04705             0.248544            
70   0.528313            0.0935775           
71   427.876             18.8905             
72   370.018             16.932              
73   320.773             15.2089             
74   279.517             13.7042             
75   242.628             12.3748             
76   211.187             11.209              
77   183.838             10.0967             
78   160.294             9.13587             
79   139.492             8.24432             
80   121.322             7.46828             
81   40.8669             3.31817             
82   35.7284             2.94957             
83   31.2488             2.63065             
84   24.0451             2.14382             
85   14.266              1.4509              
86   6.41568             0.657776            
87   2.17193             0.280993            
88   0.480244            0.113925            
89   428.103             16.571              
90   370.919             14.9018             
91   321.397             13.3557             
92   279.173             12.0649             
93   242.493             10.9334             
94   210.881             10.0162             
95   182.978             9.20161             
96   159.862             8.42547             
97   138.952             7.70422             
98   120.962             7.00688             
99   41.2892             2.96891             
100  36.1905             2.70649             
101  31.6454             2.4599              
102  24.341              1.98715             
103  14.3165             1.2974              
104  6.40982             0.726651            
105  2.02185             0.295967            
106  0.448591            0.113452            
107  178.662             8.43862             
108  155.16              7.67191             
109  135.222             6.84515             
110  117.616             6.08014             
111  40.0633             2.59189             
112  34.8312             2.34319             
113  30.5173             2.1339              
114  23.2933             1.81388             
115  13.5073             1.20263             
116  5.68197             0.624511            
117  1.74433             0.267255            
118  0.342175            0.128326            
