THPREDICTIONS BCDMSD  NNPDF30_nlo_as_0118
221  0.0903229           0.0018208           
222  0.0884684           0.00177526          
223  0.0860119           0.00171588          
224  0.0545591           0.00139365          
225  0.0532552           0.00135971          
226  0.0520006           0.00132751          
227  0.0508135           0.00129721          
228  0.0497012           0.00126895          
229  0.0485799           0.00124066          
230  0.0475111           0.00121381          
231  0.0463822           0.00118563          
232  0.0451621           0.00115532          
233  0.0435655           0.00111587          
234  0.0418736           0.00107437          
235  0.0236352           0.00103855          
236  0.022923            0.00101008          
237  0.0222584           0.000983317         
238  0.0216433           0.000958519         
239  0.0210522           0.000934597         
240  0.0204739           0.00091126          
241  0.0198727           0.000886947         
242  0.0192051           0.00085972          
243  0.018379            0.000826293         
244  0.0175125           0.000791168         
245  0.00825971          0.000682222         
246  0.00795335          0.000664355         
247  0.00767431          0.000647694         
248  0.00741013          0.000631649         
249  0.0071553           0.00061587          
250  0.00689424          0.000599469         
251  0.00661903          0.000581773         
252  0.00626961          0.00055881          
253  0.00590601          0.000534136         
