THPREDICTIONS CHORUSNB  NNPDF30_nlo_as_0118
0    0.734056            0.033453            
1    0.659469            0.0357346           
2    0.573683            0.035087            
3    1.03438             0.03271             
4    0.906744            0.0309154           
5    0.770823            0.028657            
6    0.65049             0.0279386           
7    0.552031            0.0250403           
8    1.05067             0.0311234           
9    0.875758            0.0216731           
10   0.713286            0.0239318           
11   0.577263            0.0185742           
12   0.468513            0.0189053           
13   1.00819             0.02777             
14   0.800827            0.0216641           
15   0.630949            0.0200688           
16   0.489441            0.0151963           
17   0.377669            0.0144894           
18   0.897606            0.027241            
19   0.700673            0.0197039           
20   0.529045            0.019461            
21   0.392442            0.017013            
22   0.286735            0.0158784           
23   0.775364            0.0212214           
24   0.586286            0.0167885           
25   0.434175            0.0137412           
26   0.310823            0.013329            
27   0.215314            0.013174            
28   0.577586            0.0161087           
29   0.423975            0.013466            
30   0.299969            0.0116137           
31   0.201382            0.0130756           
32   0.363617            0.0130995           
33   0.254564            0.0102741           
34   0.171086            0.00845079          
35   0.106593            0.00733248          
36   0.203363            0.0120935           
37   0.135993            0.00832527          
38   0.0865255           0.00654808          
39   0.0979545           0.00943101          
40   0.0631835           0.00699152          
41   0.0387907           0.00625316          
42   0.918126            0.0432838           
43   0.812347            0.037983            
44   0.710096            0.0329454           
45   0.620936            0.0324581           
46   1.22144             0.0369882           
47   1.09244             0.0321661           
48   0.943584            0.0299525           
49   0.805327            0.0260186           
50   0.685682            0.0238057           
51   0.58548             0.0242202           
52   1.27275             0.0356587           
53   1.07428             0.0266919           
54   0.88881             0.0206887           
55   0.727612            0.0204539           
56   0.591488            0.0205941           
57   0.481638            0.0193607           
58   1.23975             0.0288712           
59   1.00178             0.0225254           
60   0.802157            0.0170095           
61   0.631182            0.0150393           
62   0.490064            0.0139276           
63   0.378941            0.01308             
64   1.12318             0.0240936           
65   0.890426            0.0223113           
66   0.687769            0.0190137           
67   0.522655            0.0162744           
68   0.389223            0.0150099           
69   0.285309            0.0147447           
70   0.986008            0.0244024           
71   0.760544            0.0172446           
72   0.57777             0.0137145           
73   0.426314            0.0134354           
74   0.303829            0.0124862           
75   0.210171            0.0124816           
76   0.752308            0.016812            
77   0.564195            0.0139251           
78   0.413666            0.0140952           
79   0.291681            0.0104332           
80   0.195845            0.00961346          
81   0.123425            0.0101629           
82   0.482935            0.0157369           
83   0.346004            0.011107            
84   0.243738            0.00843738          
85   0.163912            0.00674419          
86   0.102591            0.00663043          
87   0.273299            0.0130325           
88   0.186481            0.00891708          
89   0.12581             0.00619667          
90   0.0808777           0.00463429          
91   0.047149            0.00410708          
92   0.133527            0.0106354           
93   0.086679            0.00719194          
94   0.056284            0.00527066          
95   0.0348442           0.00441355          
96   0.0193728           0.00406658          
97   0.655478            0.0344961           
98   0.62065             0.0405071           
99   0.557968            0.0406072           
100  1.04226             0.0372827           
101  0.966905            0.0397806           
102  0.853672            0.0341288           
103  0.751651            0.0331868           
104  0.664723            0.0323943           
105  0.594158            0.0309478           
106  1.27653             0.0432549           
107  1.12488             0.03139             
108  0.972991            0.0265938           
109  0.833651            0.0245704           
110  0.710476            0.0243869           
111  0.607661            0.0225677           
112  0.528219            0.0205715           
113  1.28844             0.0270965           
114  1.0857              0.0229288           
115  0.900443            0.022159            
116  0.737666            0.0206849           
117  0.60018             0.0195587           
118  0.489308            0.0180774           
119  0.406775            0.017542            
120  1.23267             0.0268268           
121  1.00238             0.0197815           
122  0.80096             0.0155301           
123  0.63004             0.0139532           
124  0.489636            0.0131878           
125  0.379148            0.0135094           
126  0.298305            0.0135397           
127  1.11953             0.0231231           
128  0.878583            0.0205242           
129  0.681319            0.0168955           
130  0.518285            0.0152049           
131  0.386187            0.0142904           
132  0.283513            0.0133087           
133  0.209212            0.0122037           
134  0.970972            0.0196318           
135  0.750938            0.0149806           
136  0.568422            0.0139962           
137  0.418075            0.0127493           
138  0.298313            0.0125399           
139  0.206566            0.011912            
140  0.141305            0.0110404           
141  0.735623            0.0173009           
142  0.552234            0.0147113           
143  0.403588            0.0104493           
144  0.28504             0.00966623          
145  0.191963            0.00999304          
146  0.121818            0.0101172           
147  0.464014            0.0137001           
148  0.3341              0.00972565          
149  0.235305            0.00726642          
150  0.158745            0.00664587          
151  0.0997387           0.00648153          
152  0.0557486           0.00660846          
153  0.256722            0.0111008           
154  0.175989            0.00754643          
155  0.11952             0.00518199          
156  0.0770851           0.00417596          
157  0.0451103           0.00374626          
158  0.0216934           0.00379827          
159  0.121661            0.00977715          
160  0.0797452           0.00619483          
161  0.0522855           0.00461172          
162  0.0326892           0.00386568          
163  0.0183504           0.00363847          
164  0.766605            0.0357948           
165  0.73687             0.0426102           
166  0.66642             0.0418647           
167  0.605902            0.0417415           
168  1.11868             0.0420369           
169  1.0038              0.0358658           
170  0.891374            0.034331            
171  0.789408            0.0328007           
172  0.700355            0.030789            
173  0.627327            0.0296652           
174  1.30392             0.0342059           
175  1.14974             0.0306268           
176  0.997491            0.025467            
177  0.854354            0.0247357           
178  0.728417            0.0221743           
179  0.624184            0.0197627           
180  0.543943            0.018558            
181  1.30093             0.0311717           
182  1.09544             0.021996            
183  0.908702            0.0219444           
184  0.744478            0.0201338           
185  0.605923            0.0183666           
186  0.495063            0.0173413           
187  0.412516            0.0164705           
188  1.23182             0.0238629           
189  1.00054             0.0176941           
190  0.799045            0.014914            
191  0.628681            0.01349             
192  0.488843            0.0135144           
193  0.379031            0.0131714           
194  0.298733            0.0127353           
195  1.10794             0.0252343           
196  0.87122             0.0187468           
197  0.676139            0.0159476           
198  0.514297            0.014373            
199  0.383229            0.0128127           
200  0.281266            0.0113148           
201  0.207938            0.0108061           
202  0.959744            0.0184292           
203  0.741216            0.0153616           
204  0.559413            0.0134831           
205  0.411721            0.0127796           
206  0.294069            0.0115819           
207  0.204084            0.0106418           
208  0.139661            0.0105458           
209  0.724251            0.0152886           
210  0.54155             0.013924            
211  0.39584             0.00991022          
212  0.28                0.00984673          
213  0.189316            0.0097362           
214  0.120142            0.0101237           
215  0.0714948           0.0104232           
216  0.450308            0.012593            
217  0.32442             0.00856505          
218  0.22894             0.00713517          
219  0.15477             0.00648183          
220  0.0974089           0.0064065           
221  0.0546226           0.00659952          
222  0.244191            0.00995225          
223  0.168757            0.00644368          
224  0.114925            0.00479263          
225  0.0743068           0.00386535          
226  0.0435547           0.00366274          
227  0.0210112           0.00376239          
228  0.113428            0.00803782          
229  0.0750578           0.00535679          
230  0.0496496           0.00418627          
231  0.0312125           0.00362915          
232  0.0175189           0.00357107          
233  0.00766951          0.00365228          
234  0.894237            0.0377348           
235  0.876711            0.044918            
236  0.802014            0.0434257           
237  0.730579            0.0459273           
