THPREDICTIONS POSDYUD  NNPDF30_nlo_as_0118
0    0.0666747           0.223637            
1    1.08658             0.618415            
2    4.47237             0.636532            
3    10.7814             0.876935            
4    18.7609             1.02467             
5    26.2431             1.2519              
6    32.3383             1.33264             
7    37.0827             1.40826             
8    40.2801             1.5817              
9    42.5725             1.61942             
10   45.3905             1.7263              
11   41.9364             1.68491             
12   34.9872             1.41202             
13   26.8388             1.05462             
14   18.4072             0.756945            
15   11.2902             0.548427            
16   6.07126             0.368487            
17   2.65217             0.272516            
18   0.791147            0.195012            
19   0.10906             0.141941            
