THPREDICTIONS H1HERA2CCEP  NNPDF30_nlo_as_0118
0    1.10558             0.008225            
1    1.06118             0.00867277          
2    0.840286            0.00821559          
3    0.584499            0.00688145          
4    0.918719            0.00618456          
5    0.792323            0.00733732          
6    0.56404             0.00641723          
7    0.433677            0.00692529          
8    0.648475            0.00738854          
9    0.663521            0.00597599          
10   0.513886            0.00562437          
11   0.400822            0.00623794          
12   0.460103            0.00532908          
13   0.421563            0.00454622          
14   0.345735            0.00520783          
15   0.195571            0.00469484          
16   0.342829            0.00387014          
17   0.298722            0.00439305          
18   0.177456            0.00421279          
19   0.0738157           0.00392183          
20   0.226266            0.00335533          
21   0.219477            0.00316524          
22   0.147131            0.00346491          
23   0.0641283           0.00341509          
24   0.134957            0.00225501          
25   0.110581            0.00265397          
26   0.0526933           0.00283829          
27   0.0518576           0.00172912          
28   0.0329373           0.00190429          
