THPREDICTIONS POSDYD  NNPDF30_nlo_as_0118
0    2.61798e-10         2.45287e-10         
1    1.9253e-09          8.99919e-10         
2    7.30691e-09         1.16378e-09         
3    1.7298e-08          1.82837e-09         
4    3.03303e-08         2.30155e-09         
5    4.267e-08           2.82787e-09         
6    5.28832e-08         2.71217e-09         
7    5.92884e-08         2.64782e-09         
8    6.15547e-08         2.87617e-09         
9    6.1785e-08          3.05093e-09         
10   5.52521e-08         2.71324e-09         
11   4.0929e-08          2.6809e-09          
12   2.76252e-08         2.04978e-09         
13   1.70124e-08         1.81528e-09         
14   1.0163e-08          1.31164e-09         
15   5.06439e-09         1.13528e-09         
16   2.11973e-09         9.69124e-10         
17   1.59317e-09         7.44475e-10         
18   8.17233e-10         6.01614e-10         
19   2.61798e-10         2.45287e-10         
