THPREDICTIONS POSF2DW  NNPDF30_nlo_as_0118
0    0.565306            0.550448            
1    0.387066            0.279525            
2    0.272213            0.138402            
3    0.183397            0.0308709           
4    0.146713            0.0187063           
5    0.118531            0.0105329           
6    0.0955004           0.00556928          
7    0.0772688           0.00332398          
8    0.0655572           0.00167658          
9    0.056108            0.00167387          
10   0.0476781           0.00123107          
11   0.0361312           0.00141143          
12   0.0252377           0.00140034          
13   0.0159138           0.00147793          
14   0.0095194           0.00102842          
15   0.00500311          0.000938157         
16   0.00210909          0.000759983         
17   0.00142314          0.000604735         
18   0.000765834         0.0004612           
19   0.000238415         0.00026128          
