THPREDICTIONS ATLASLOMASSDY11  NNPDF30_nlo_as_0118
0    2101.53             29.2139             
1    3205.87             45.5689             
2    2444.35             34.7364             
3    1807.45             25.4975             
4    1356.79             18.8863             
5    1056.95             14.4024             
6    873.987             11.5515             
7    787.817             10.0383             
