THPREDICTIONS POSDYUBDB  NNPDF30_nlo_as_0118
0    0.0298426           0.121946            
1    -0.022004           0.314889            
2    -0.103181           0.247761            
3    -0.0254616          0.181661            
4    0.476767            0.195235            
5    1.27993             0.233104            
6    2.12275             0.224582            
7    2.65365             0.225829            
8    2.77006             0.247866            
9    2.63454             0.233337            
10   1.69559             0.19109             
11   1.00664             0.157973            
12   0.478712            0.158672            
13   0.295524            0.142289            
14   0.181192            0.108944            
15   0.0668234           0.118246            
16   0.0685121           0.138458            
17   -0.0814182          0.113143            
18   0.0427195           0.0840201           
19   0.0627744           0.0885172           
