	mean	std
u momentum fraction	0.304	0.055
ubar momentum fraction	-0.012	0.013
d momentum fraction	0.210	0.018
dbar momentum fraction	-0.057	0.025
s momentum fraction	0.084	0.069
sbar momentum fraction	0.031	0.083
cp momentum fraction	0.0405	0.0020
cm momentum fraction	-1.06E-7	3.1E-8
g momentum fraction	0.400	0.081
T3	0.73	0.15
T8	2.3	2.4
