	Reference Fit
$\chi^2$	0.94843
$<E_{\mathrm{trn}}>$	1.90±0.12
$<E_{\mathrm{val}}>$	1.44±0.13
$<TL>$	300±110
$<\chi^2>$	1.067±0.060
$\phi$	0.344±0.051
