		prev (Current Fit)	prev (Current Fit)	next (Current Fit)	next (Current Fit)
		Min	Max	Min	Max
$\Sigma$	$\alpha$	1.05	1.19	1.111764648195478	1.1549013187511206
$\Sigma$	$\beta$	1.47	2.7	1.5728309673956125	3.2935634106243805
$g$	$\alpha$	0.94	1.25	0.9914620725479504	1.232192974554876
$g$	$\beta$	0.11	5.87	0.40918189102505176	4.93755678907482
$V$	$\alpha$	0.54	0.75	0.3499060121777515	0.9599503035543161
$V$	$\beta$	1.15	2.76	0.5730699125882481	1.8181505116517933
$V3$	$\alpha$	0.21	0.57	0.33235835616346754	0.4810284919900364
$V3$	$\beta$	1.35	3.08	0.0	2.926492678257812
$V8$	$\alpha$	0.52	0.76	0.4722119439522666	1.0589893678928735
$V8$	$\beta$	0.77	3.56	0.0	3.4202583921373013
$T3$	$\alpha$	-0.37	1.52	0.033033588779407014	0.3317221416579148
$T3$	$\beta$	1.74	3.39	2.0199175307036836	2.9569154374393407
$T8$	$\alpha$	0.56	1.29	0.7724102303001177	0.8754993641291622
$T8$	$\beta$	1.45	3.03	0.9986780135131488	4.372874708527453
$c^+$	$\alpha$	0.12	1.19	0.15350834767160637	1.0499246376877345
$c^+$	$\beta$	1.83	6.7	2.475892137643341	6.863779285556075
