	mean	std
u momentum fraction	0.229	0.046
ubar momentum fraction	0.053	0.032
d momentum fraction	0.01	0.11
dbar momentum fraction	0.127	0.096
s momentum fraction	0.104	0.068
sbar momentum fraction	0.006	0.053
cp momentum fraction	0.0452	0.0076
cm momentum fraction	-2.6E-8	3.3E-8
g momentum fraction	0.424	0.038
T3	0.718	0.030
T8	4.34	0.49
