#: table_doi: 10.17182/hepdata.85696.v2/t184
#: name: Table 184
#: description: Absolute cross section at the parton level as a function of $|y(\text{t}_\text{l})|$.
#: data_file: data184.yaml
#: data_license:   
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG_FID/DYTL
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000
$|y(\text{t}_\text{l})|$,$|y(\text{t}_\text{l})|$ LOW,$|y(\text{t}_\text{l})|$ HIGH,$\frac{{d}\sigma}{{d}|y(\text{t}_\text{l})|}$ [pb ],stat +,stat -,sys +,sys -
0.1,0.0,0.2,144.4715,0.9977,-0.9977,9.3598,-9.3598
0.30000000000000004,0.2,0.4,141.9970,0.9487,-0.9487,10.0814,-10.0814
0.5,0.4,0.6,138.0397,0.9864,-0.9864,9.0538,-9.0538
0.7,0.6,0.8,130.8629,0.9567,-0.9567,9.0128,-9.0128
0.9,0.8,1.0,119.3801,0.9292,-0.9292,8.2867,-8.2867
1.1,1.0,1.2,106.8398,0.9083,-0.9083,7.8008,-7.8008
1.2999999999999998,1.2,1.4,93.6622,0.8970,-0.8970,6.4698,-6.4698
1.5,1.4,1.6,77.3179,0.8656,-0.8656,6.5639,-6.5639
1.7000000000000002,1.6,1.8,65.2501,0.8501,-0.8501,5.4235,-5.4235
1.9,1.8,2.0,53.2000,0.8474,-0.8474,5.5707,-5.5707
2.25,2.0,2.5,33.0074,0.7490,-0.7490,2.8318,-2.8318

