#: table_doi: 10.17182/hepdata.32750.v1/t15
#: name: Table 15
#: description: No description provided.
#: data_file: Table15.yaml
#: keyword reactions: MU- DEUT --> MU- X | MU+ DEUT --> MU+ X | MU- P --> MU- X | MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 29.709
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE(Q=DEUT),MUON DEUT --> MUON X
#: RE(Q=P),MUON P --> MUON X
#: SQRT(S) [GeV],29.709
#: X,0.18
MEAN(NAME=Q**2),F2(Q=DEUT)/F2(Q=P),stat +,stat -,sys +,sys -
1.82,0.8859,0.0193,-0.0193,0.0047,-0.0047
2.24,0.8781,0.0146,-0.0146,0.0037,-0.0037
2.75,0.9173,0.015,-0.015,0.0033,-0.0033
3.47,0.8983,0.0106,-0.0106,0.0027,-0.0027
4.47,0.8811,0.0117,-0.0117,0.0022,-0.0022
5.49,0.9134,0.012,-0.012,0.0025,-0.0025
6.92,0.8869,0.0093,-0.0093,0.0022,-0.0022
8.93,0.8622,0.0108,-0.0108,0.0018,-0.0018
11.37,0.8676,0.0109,-0.0109,0.0017,-0.0017
14.85,0.8787,0.0114,-0.0114,0.0018,-0.0018
19.75,0.862,0.0108,-0.0108,0.0014,-0.0014
26.61,0.8684,0.0122,-0.0122,0.0013,-0.0013
35.37,0.8641,0.0153,-0.0153,0.0011,-0.0011
47.01,0.8715,0.0202,-0.0202,0.001,-0.001
63.04,0.897,0.0297,-0.0297,0.0011,-0.0011

