#: table_doi: 10.17182/hepdata.32750.v1/t13
#: name: Table 13
#: description: No description provided.
#: data_file: Table13.yaml
#: keyword reactions: MU- DEUT --> MU- X | MU+ DEUT --> MU+ X | MU- P --> MU- X | MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 29.709
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE(Q=DEUT),MUON DEUT --> MUON X
#: RE(Q=P),MUON P --> MUON X
#: SQRT(S) [GeV],29.709
#: X,0.11
MEAN(NAME=Q**2),F2(Q=DEUT)/F2(Q=P),stat +,stat -,sys +,sys -
1.13,0.9264,0.068,-0.068,0.0063,-0.0063
1.38,0.9005,0.0306,-0.0306,0.0031,-0.0031
1.75,0.9227,0.0169,-0.0169,0.0031,-0.0031
2.24,0.915,0.0151,-0.0151,0.0026,-0.0026
2.74,0.9292,0.0153,-0.0153,0.0027,-0.0027
3.49,0.9205,0.0097,-0.0097,0.0022,-0.0022
4.47,0.9114,0.0098,-0.0098,0.002,-0.002
5.46,0.9409,0.0117,-0.0117,0.0018,-0.0018
6.9,0.9291,0.0102,-0.0102,0.0017,-0.0017
8.92,0.9266,0.0127,-0.0127,0.0014,-0.0014
11.37,0.9263,0.0126,-0.0126,0.0017,-0.0017
14.85,0.9272,0.013,-0.013,0.0015,-0.0015
19.74,0.9123,0.0124,-0.0124,0.0012,-0.0012
26.52,0.9272,0.0147,-0.0147,0.0011,-0.0011
35.32,0.905,0.0209,-0.0209,0.0011,-0.0011
44.94,0.9039,0.0345,-0.0345,0.0019,-0.0019

