#: table_doi: 10.17182/hepdata.32750.v1/t8
#: name: Table 8
#: description: No description provided.
#: data_file: Table8.yaml
#: keyword reactions: MU- DEUT --> MU- X | MU+ DEUT --> MU+ X | MU- P --> MU- X | MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 29.709
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE(Q=DEUT),MUON DEUT --> MUON X
#: RE(Q=P),MUON P --> MUON X
#: SQRT(S) [GeV],29.709
#: X,0.025
MEAN(NAME=Q**2),F2(Q=DEUT)/F2(Q=P),stat +,stat -,sys +,sys -
0.26,0.9493,0.0375,-0.0375,0.0063,-0.0063
0.35,0.9601,0.0287,-0.0287,0.0064,-0.0064
0.45,0.9408,0.0313,-0.0313,0.0037,-0.0037
0.62,0.962,0.0131,-0.0131,0.0022,-0.0022
0.86,0.9585,0.0154,-0.0154,0.002,-0.002
1.13,0.9631,0.0124,-0.0124,0.0023,-0.0023
1.37,0.9849,0.0107,-0.0107,0.0027,-0.0027
1.74,0.9802,0.0076,-0.0076,0.0023,-0.0023
2.24,0.9677,0.0071,-0.0071,0.002,-0.002
2.74,0.9581,0.0074,-0.0074,0.0018,-0.0018
3.45,0.979,0.0065,-0.0065,0.0023,-0.0023
4.47,0.9764,0.0085,-0.0085,0.0017,-0.0017
5.48,0.9592,0.0097,-0.0097,0.0017,-0.0017
6.92,0.9893,0.0085,-0.0085,0.0032,-0.0032
8.92,0.9738,0.01,-0.01,0.0043,-0.0043

