#: table_doi: 10.17182/hepdata.32750.v1/t7
#: name: Table 7
#: description: No description provided.
#: data_file: Table7.yaml
#: keyword reactions: MU- DEUT --> MU- X | MU+ DEUT --> MU+ X | MU- P --> MU- X | MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 29.709
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE(Q=DEUT),MUON DEUT --> MUON X
#: RE(Q=P),MUON P --> MUON X
#: SQRT(S) [GeV],29.709
#: X,0.0175
MEAN(NAME=Q**2),F2(Q=DEUT)/F2(Q=P),stat +,stat -,sys +,sys -
0.25,0.9573,0.0402,-0.0402,0.0064,-0.0064
0.35,0.9747,0.0301,-0.0301,0.0033,-0.0033
0.45,1.007,0.0268,-0.0268,0.0028,-0.0028
0.62,0.9939,0.0161,-0.0161,0.0025,-0.0025
0.88,0.9645,0.0155,-0.0155,0.0021,-0.0021
1.12,0.9685,0.0129,-0.0129,0.0026,-0.0026
1.37,0.9834,0.0119,-0.0119,0.0026,-0.0026
1.75,0.9925,0.0084,-0.0084,0.0025,-0.0025
2.24,0.9763,0.0087,-0.0087,0.0022,-0.0022
2.73,0.968,0.0098,-0.0098,0.002,-0.002
3.48,0.9761,0.0092,-0.0092,0.0018,-0.0018
4.47,0.9716,0.01,-0.01,0.0028,-0.0028
5.49,0.9817,0.0143,-0.0143,0.0027,-0.0027
6.83,0.9942,0.0107,-0.0107,0.004,-0.004

