#: table_doi: 10.17182/hepdata.32750.v1/t4
#: name: Table 4
#: description: No description provided.
#: data_file: Table4.yaml
#: keyword reactions: MU- DEUT --> MU- X | MU+ DEUT --> MU+ X | MU- P --> MU- X | MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 29.709
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE(Q=DEUT),MUON DEUT --> MUON X
#: RE(Q=P),MUON P --> MUON X
#: SQRT(S) [GeV],29.709
#: X,0.005
MEAN(NAME=Q**2),F2(Q=DEUT)/F2(Q=P),stat +,stat -,sys +,sys -
0.16,1.005,0.0615,-0.0615,0.003,-0.003
0.25,1.0,0.025,-0.025,0.0037,-0.0037
0.35,1.014,0.0208,-0.0208,0.0043,-0.0043
0.45,0.9945,0.0172,-0.0172,0.0046,-0.0046
0.61,0.9795,0.0092,-0.0092,0.0094,-0.0094
0.88,0.9966,0.0157,-0.0157,0.0032,-0.0032
1.13,0.9893,0.0137,-0.0137,0.0033,-0.0033
1.38,0.9959,0.0128,-0.0128,0.0032,-0.0032
1.71,0.9842,0.0098,-0.0098,0.0048,-0.0048

