#: table_doi: 10.17182/hepdata.32750.v1/t12
#: name: Table 12
#: description: No description provided.
#: data_file: Table12.yaml
#: keyword reactions: MU- DEUT --> MU- X | MU+ DEUT --> MU+ X | MU- P --> MU- X | MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 29.709
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE(Q=DEUT),MUON DEUT --> MUON X
#: RE(Q=P),MUON P --> MUON X
#: SQRT(S) [GeV],29.709
#: X,0.09
MEAN(NAME=Q**2),F2(Q=DEUT)/F2(Q=P),stat +,stat -,sys +,sys -
0.9,0.9678,0.054,-0.054,0.0065,-0.0065
1.11,0.9351,0.0537,-0.0537,0.0062,-0.0062
1.38,0.9385,0.0281,-0.0281,0.0032,-0.0032
1.76,0.9413,0.014,-0.014,0.0028,-0.0028
2.24,0.9313,0.0136,-0.0136,0.0025,-0.0025
2.75,0.9445,0.0124,-0.0124,0.0024,-0.0024
3.49,0.936,0.0082,-0.0082,0.0021,-0.0021
4.47,0.9397,0.0089,-0.0089,0.0018,-0.0018
5.46,0.942,0.0106,-0.0106,0.0016,-0.0016
6.91,0.9245,0.0092,-0.0092,0.0016,-0.0016
8.92,0.9218,0.0114,-0.0114,0.0014,-0.0014
11.37,0.9254,0.0115,-0.0115,0.0017,-0.0017
14.87,0.9291,0.0116,-0.0116,0.0014,-0.0014
19.74,0.9319,0.0114,-0.0114,0.0013,-0.0013
26.36,0.9554,0.0147,-0.0147,0.0012,-0.0012
34.74,0.9233,0.0222,-0.0222,0.0017,-0.0017

