#: table_doi: 10.17182/hepdata.32750.v1/t11
#: name: Table 11
#: description: No description provided.
#: data_file: Table11.yaml
#: keyword reactions: MU- DEUT --> MU- X | MU+ DEUT --> MU+ X | MU- P --> MU- X | MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 29.709
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE(Q=DEUT),MUON DEUT --> MUON X
#: RE(Q=P),MUON P --> MUON X
#: SQRT(S) [GeV],29.709
#: X,0.07
MEAN(NAME=Q**2),F2(Q=DEUT)/F2(Q=P),stat +,stat -,sys +,sys -
0.68,0.9488,0.0438,-0.0438,0.0063,-0.0063
0.86,0.9595,0.0344,-0.0344,0.0063,-0.0063
1.11,1.001,0.0542,-0.0542,0.0068,-0.0068
1.38,0.981,0.0197,-0.0197,0.0028,-0.0028
1.74,0.971,0.0117,-0.0117,0.0027,-0.0027
2.24,0.9477,0.0111,-0.0111,0.0023,-0.0023
2.75,0.9449,0.0096,-0.0096,0.0023,-0.0023
3.47,0.9486,0.0069,-0.0069,0.0019,-0.0019
4.47,0.937,0.0079,-0.0079,0.0016,-0.0016
5.47,0.945,0.0095,-0.0095,0.0014,-0.0014
6.91,0.9367,0.0082,-0.0082,0.0015,-0.0015
8.91,0.9394,0.0105,-0.0105,0.0015,-0.0015
11.4,0.9328,0.0105,-0.0105,0.0018,-0.0018
14.89,0.9432,0.0103,-0.0103,0.0014,-0.0014
19.63,0.9371,0.0103,-0.0103,0.0013,-0.0013
26.07,0.9592,0.0157,-0.0157,0.0018,-0.0018

