#: table_doi: 10.17182/hepdata.32750.v1/t17
#: name: Table 17
#: description: No description provided.
#: data_file: Table17.yaml
#: keyword reactions: MU- DEUT --> MU- X | MU+ DEUT --> MU+ X | MU- P --> MU- X | MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 29.709
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE(Q=DEUT),MUON DEUT --> MUON X
#: RE(Q=P),MUON P --> MUON X
#: SQRT(S) [GeV],29.709
#: X,0.275
MEAN(NAME=Q**2),F2(Q=DEUT)/F2(Q=P),stat +,stat -,sys +,sys -
2.78,0.8219,0.0203,-0.0203,0.0068,-0.0068
3.46,0.8637,0.0155,-0.0155,0.0051,-0.0051
4.47,0.8542,0.0141,-0.0141,0.0033,-0.0033
5.47,0.8505,0.0163,-0.0163,0.003,-0.003
6.89,0.8302,0.0142,-0.0142,0.0023,-0.0023
8.94,0.8377,0.0134,-0.0134,0.0025,-0.0025
11.37,0.8202,0.0128,-0.0128,0.002,-0.002
14.87,0.8459,0.0135,-0.0135,0.0022,-0.0022
19.74,0.8269,0.0127,-0.0127,0.0019,-0.0019
26.6,0.8334,0.014,-0.014,0.0017,-0.0017
35.43,0.832,0.0169,-0.0169,0.0014,-0.0014
46.98,0.8444,0.0214,-0.0214,0.0013,-0.0013
63.48,0.8104,0.0265,-0.0265,0.001,-0.001
90.68,0.8027,0.0349,-0.0349,0.001,-0.001

