#: table_doi: 10.17182/hepdata.32750.v1/t6
#: name: Table 6
#: description: No description provided.
#: data_file: Table6.yaml
#: keyword reactions: MU- DEUT --> MU- X | MU+ DEUT --> MU+ X | MU- P --> MU- X | MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 29.709
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE(Q=DEUT),MUON DEUT --> MUON X
#: RE(Q=P),MUON P --> MUON X
#: SQRT(S) [GeV],29.709
#: X,0.0125
MEAN(NAME=Q**2),F2(Q=DEUT)/F2(Q=P),stat +,stat -,sys +,sys -
0.16,0.9683,0.0543,-0.0543,0.0065,-0.0065
0.26,1.008,0.032,-0.032,0.0034,-0.0034
0.35,0.953,0.0233,-0.0233,0.0026,-0.0026
0.45,0.969,0.0205,-0.0205,0.0022,-0.0022
0.62,0.9872,0.0127,-0.0127,0.0023,-0.0023
0.88,0.968,0.0108,-0.0108,0.0025,-0.0025
1.12,0.9624,0.0092,-0.0092,0.0035,-0.0035
1.37,0.9797,0.0098,-0.0098,0.0035,-0.0035
1.74,0.9747,0.0072,-0.0072,0.003,-0.003
2.23,0.9738,0.0085,-0.0085,0.0041,-0.0041
2.74,0.9813,0.0103,-0.0103,0.0016,-0.0016
3.46,0.9844,0.0087,-0.0087,0.0022,-0.0022
4.47,0.9734,0.0095,-0.0095,0.0043,-0.0043
5.41,0.9821,0.0134,-0.0134,0.0058,-0.0058

