#: table_doi: 10.17182/hepdata.32750.v1/t14
#: name: Table 14
#: description: No description provided.
#: data_file: Table14.yaml
#: keyword reactions: MU- DEUT --> MU- X | MU+ DEUT --> MU+ X | MU- P --> MU- X | MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 29.709
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE(Q=DEUT),MUON DEUT --> MUON X
#: RE(Q=P),MUON P --> MUON X
#: SQRT(S) [GeV],29.709
#: X,0.14
MEAN(NAME=Q**2),F2(Q=DEUT)/F2(Q=P),stat +,stat -,sys +,sys -
1.4,0.914,0.031,-0.031,0.0037,-0.0037
1.75,0.9427,0.0143,-0.0143,0.0036,-0.0036
2.24,0.9056,0.0127,-0.0127,0.003,-0.003
2.74,0.9223,0.0125,-0.0125,0.0028,-0.0028
3.47,0.8966,0.009,-0.009,0.0023,-0.0023
4.48,0.9132,0.0087,-0.0087,0.0022,-0.0022
5.47,0.9242,0.0095,-0.0095,0.002,-0.002
6.9,0.9212,0.0081,-0.0081,0.0019,-0.0019
8.92,0.9147,0.01,-0.01,0.0016,-0.0016
11.37,0.8981,0.0097,-0.0097,0.0016,-0.0016
14.84,0.9068,0.0101,-0.0101,0.0017,-0.0017
19.76,0.9018,0.0098,-0.0098,0.0013,-0.0013
26.55,0.8924,0.011,-0.011,0.0011,-0.0011
35.28,0.905,0.0149,-0.0149,0.0011,-0.0011
46.95,0.8453,0.0191,-0.0191,0.001,-0.001

