#: table_doi: 10.17182/hepdata.32750.v1/t16
#: name: Table 16
#: description: No description provided.
#: data_file: Table16.yaml
#: keyword reactions: MU- DEUT --> MU- X | MU+ DEUT --> MU+ X | MU- P --> MU- X | MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 29.709
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE(Q=DEUT),MUON DEUT --> MUON X
#: RE(Q=P),MUON P --> MUON X
#: SQRT(S) [GeV],29.709
#: X,0.225
MEAN(NAME=Q**2),F2(Q=DEUT)/F2(Q=P),stat +,stat -,sys +,sys -
2.28,0.8552,0.0172,-0.0172,0.0055,-0.0055
2.74,0.8761,0.0161,-0.0161,0.0044,-0.0044
3.48,0.8714,0.0109,-0.0109,0.0032,-0.0032
4.47,0.8702,0.0121,-0.0121,0.0027,-0.0027
5.47,0.8445,0.0137,-0.0137,0.0023,-0.0023
6.97,0.8607,0.0101,-0.0101,0.0024,-0.0024
8.93,0.8464,0.0112,-0.0112,0.0021,-0.0021
11.38,0.8534,0.0112,-0.0112,0.0018,-0.0018
14.85,0.8549,0.0116,-0.0116,0.0019,-0.0019
19.74,0.8617,0.0112,-0.0112,0.0017,-0.0017
26.64,0.8651,0.0126,-0.0126,0.0015,-0.0015
35.42,0.867,0.0155,-0.0155,0.0013,-0.0013
46.95,0.8343,0.0186,-0.0186,0.0011,-0.0011
63.23,0.8218,0.0248,-0.0248,0.001,-0.001

