#: table_doi: 10.17182/hepdata.32750.v1/t9
#: name: Table 9
#: description: No description provided.
#: data_file: Table9.yaml
#: keyword reactions: MU- DEUT --> MU- X | MU+ DEUT --> MU+ X | MU- P --> MU- X | MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 29.709
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE(Q=DEUT),MUON DEUT --> MUON X
#: RE(Q=P),MUON P --> MUON X
#: SQRT(S) [GeV],29.709
#: X,0.035
MEAN(NAME=Q**2),F2(Q=DEUT)/F2(Q=P),stat +,stat -,sys +,sys -
0.36,0.9557,0.0375,-0.0375,0.0064,-0.0064
0.45,0.9264,0.034,-0.034,0.0061,-0.0061
0.64,0.9308,0.0207,-0.0207,0.003,-0.003
0.86,0.9618,0.0179,-0.0179,0.0023,-0.0023
1.13,0.9723,0.0183,-0.0183,0.0023,-0.0023
1.38,0.9633,0.0138,-0.0138,0.0025,-0.0025
1.74,0.9554,0.0089,-0.0089,0.0024,-0.0024
2.24,0.9572,0.0087,-0.0087,0.0022,-0.0022
2.74,0.9766,0.009,-0.009,0.0019,-0.0019
3.46,0.9565,0.0069,-0.0069,0.0021,-0.0021
4.45,0.9611,0.0088,-0.0088,0.0016,-0.0016
5.47,0.9669,0.0111,-0.0111,0.0018,-0.0018
6.92,0.9817,0.0101,-0.0101,0.0018,-0.0018
8.96,0.9686,0.0115,-0.0115,0.0021,-0.0021
11.45,0.9572,0.0107,-0.0107,0.0015,-0.0015
14.36,0.9439,0.0144,-0.0144,0.0031,-0.0031

