#: table_doi: 10.17182/hepdata.32750.v1/t10
#: name: Table 10
#: description: No description provided.
#: data_file: Table10.yaml
#: keyword reactions: MU- DEUT --> MU- X | MU+ DEUT --> MU+ X | MU- P --> MU- X | MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 29.709
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE(Q=DEUT),MUON DEUT --> MUON X
#: RE(Q=P),MUON P --> MUON X
#: SQRT(S) [GeV],29.709
#: X,0.05
MEAN(NAME=Q**2),F2(Q=DEUT)/F2(Q=P),stat +,stat -,sys +,sys -
0.46,0.9101,0.0412,-0.0412,0.006,-0.006
0.61,0.9539,0.0214,-0.0214,0.0063,-0.0063
0.88,0.9204,0.0213,-0.0213,0.0029,-0.0029
1.13,0.9738,0.0167,-0.0167,0.0025,-0.0025
1.37,0.94,0.0138,-0.0138,0.0025,-0.0025
1.74,0.9532,0.0092,-0.0092,0.0025,-0.0025
2.25,0.9526,0.0077,-0.0077,0.0023,-0.0023
2.74,0.9642,0.0077,-0.0077,0.002,-0.002
3.46,0.9597,0.0058,-0.0058,0.0017,-0.0017
4.46,0.9551,0.0069,-0.0069,0.0015,-0.0015
5.46,0.9577,0.0085,-0.0085,0.0015,-0.0015
6.9,0.9682,0.0076,-0.0076,0.0015,-0.0015
8.93,0.9578,0.0097,-0.0097,0.0018,-0.0018
11.44,0.9532,0.0087,-0.0087,0.0014,-0.0014
14.82,0.9698,0.009,-0.009,0.0015,-0.0015
19.19,0.9635,0.0119,-0.0119,0.0022,-0.0022

