 0.0 0.4   0.4 0.8   0.8 1.2   1.2 1.6   1.6 2.0   2.0 2.4   2.4 2.8   2.8 3.6 
     129.27    129.44    125.81    118.23    113.37    105.26     92.18     53.38
                1.46      1.47      1.50      1.61      1.84      2.57      3.24      4.21
                  0.59      0.50      0.47      0.45      0.63      1.37      3.81      4.37
                 1.07      1.08      0.93      0.97      1.26      2.19      3.77      8.06
                  1.90      1.89      1.83      1.94      2.32      3.65      6.26     10.09
       1      0.29      0.29      0.29      0.29      0.29      0.29      0.29      0.29
       2      0.09      0.09      0.09      0.09      0.09      0.09      0.09      0.09
       3      0.04      0.04      0.04      0.04      0.04      0.04      0.04      0.04
       4      0.19      0.19      0.19      0.19      0.19      0.19      0.19      0.18
       5      0.07      0.07      0.05      0.04      0.01      0.00      0.06      0.18
       6     -0.13     -0.10     -0.08     -0.05     -0.04     -0.07     -0.06     -0.03
       7      0.05      0.04      0.05      0.04      0.05      0.09      0.58      1.76
       8     -0.07     -0.09     -0.07     -0.09     -0.08     -0.19     -0.42     -1.16
       9     -0.03     -0.02     -0.05      0.01      0.05      0.18      0.61      1.28
      10      0.12      0.13      0.11      0.08      0.03     -0.05     -0.40     -0.93
      11     -0.10     -0.10     -0.10     -0.05      0.01      0.13      0.63      1.87
      12      0.06      0.06      0.06      0.15      0.33      0.76      2.26      4.97
      13     -0.28     -0.29     -0.17     -0.15      0.15      0.18      0.11     -0.39
      14     -0.02      0.01     -0.03      0.05     -0.01      0.23      1.16      3.19
      15      0.07      0.06      0.01      0.03      0.02      0.23      1.18      2.70
      16     -0.10     -0.08     -0.08     -0.03     -0.09      0.04      0.23      1.64
      17     -0.53     -0.55     -0.43     -0.37     -0.37     -0.58     -0.82     -1.95
      18      0.07      0.02      0.03      0.07      0.17      0.17      0.45      0.56
      19     -0.16     -0.16     -0.13     -0.06     -0.07     -0.06      0.03      0.37
      20      0.34      0.32      0.22      0.30      0.41      0.66     -0.03     -0.83
      21     -0.15     -0.17     -0.15     -0.09      0.04      0.13      0.04     -0.03
      22     -0.10     -0.15      0.00     -0.25     -0.45     -1.15     -0.28      1.39
      23      0.05      0.02      0.00     -0.23     -0.49     -0.85     -0.09      0.78
      24      0.22      0.23      0.23      0.16      0.00      0.15      0.49      0.28
      25      0.17      0.16      0.12      0.14      0.08      0.01      0.26      0.26
      26      0.18      0.25      0.28      0.18      0.24      0.69      0.03     -1.13
      27      0.00     -0.01     -0.04     -0.04     -0.06     -0.20     -0.19     -0.04
      28      0.50      0.47      0.45      0.52      0.66      0.62      0.70      0.26
      29      0.17      0.18      0.16      0.13     -0.06     -0.14     -1.68     -0.46
      30     -0.12     -0.11     -0.14     -0.12     -0.11     -0.20     -0.21     -0.21
