  200   0.0037  0.006  0.005  1.09   0.01 0.01  0.01 0.01  14079  88.0 
  200   0.006   0.01   0.008  0.92   0.01 0.01  0.02 0.02  16389  23.3 
  200   0.01    0.017  0.013  0.78   0.01 0.01  0.01 0.01  17628  2.9 
  200   0.017   0.025  0.021  0.66   0.01 0.01  0.01 0.01  12598  0.0 
  200   0.025   0.037  0.032  0.56   0.01 0.01  0.02 0.02  11904  0.0 
  200   0.037   0.06   0.05   0.50   0.01 0.01  0.01 0.01  11002  0.0 
  200   0.06    0.12   0.08   0.44   0.00 0.00  0.02 0.02  14235  0.0 
  200   0.12    0.25   0.18   0.33   0.00 0.00  0.02 0.02  7372   0.0 
  250   0.006   0.01   0.008  0.94   0.01 0.01  0.01 0.01  11341 26.1 
  250   0.01    0.017  0.013  0.79   0.01 0.01  0.01 0.01  12602  6.0 
  250   0.017   0.025  0.021  0.66   0.01 0.01  0.01 0.01  8935   1.5 
  250   0.025   0.037  0.032  0.56   0.01 0.01  0.02 0.02  8745   0.0 
  250   0.037   0.06   0.05   0.49   0.01 0.01  0.02 0.02  8494   0.0 
  250   0.06    0.12   0.08   0.43   0.00 0.00  0.02 0.02  10350  0.0 
  250   0.12    0.25   0.18   0.33   0.00 0.00  0.02 0.02  6985   0.0 
  350   0.006   0.01   0.008  0.97   0.01 0.01  0.02 0.01  6903  71.5 
  350   0.01    0.017  0.013  0.82   0.01 0.01  0.02 0.01  9505   8.8 
  350   0.017   0.025  0.021  0.69   0.01 0.01  0.01 0.00  7274   0.0 
  350   0.025   0.037  0.032  0.61   0.01 0.01  0.01 0.01  7071   0.0 
  350   0.037   0.06   0.05   0.51   0.01 0.01  0.01 0.01  7509   0.0 
  350   0.06    0.12   0.08   0.44   0.01 0.01  0.01 0.01  8417   0.0 
  350   0.12    0.25   0.18   0.31   0.00 0.00  0.02 0.02  6571   0.0 
  450   0.006   0.01   0.008  0.99   0.01 0.01  0.02 0.02  5334  84.2 
  450   0.01    0.017  0.013  0.86   0.01 0.01  0.01 0.01  4719  16.1 
  450   0.017   0.025  0.021  0.69   0.01 0.01  0.01 0.01  3668   1.3 
  450   0.025   0.037  0.032  0.59   0.01 0.01  0.01 0.01  4173   0.0 
  450   0.037   0.06   0.05   0.52   0.01 0.01  0.01 0.01  5225   0.0 
  450   0.06    0.1    0.08   0.43   0.01 0.01  0.01 0.01  4249   0.0 
  450   0.1     0.17   0.13   0.36   0.01 0.01  0.02 0.02  3727   0.0 
  450   0.17    0.3    0.25   0.26   0.01 0.01  0.01 0.01  2819   0.0 
  650   0.01    0.017  0.013  0.88   0.01 0.01  0.01 0.01  5347  59.5 
  650   0.017   0.025  0.021  0.76   0.01 0.01  0.01 0.01  3568  5.7 
  650   0.025   0.037  0.032  0.60   0.01 0.01  0.01 0.01  2740  1.3 
  650   0.037   0.06   0.05   0.51   0.01 0.01  0.01 0.00  2908  0.0 
  650   0.06    0.1    0.08   0.42   0.01 0.01  0.01 0.01  2418  0.0 
  650   0.1     0.17   0.13   0.36   0.01 0.01  0.01 0.01  2201  0.0 
  650   0.17    0.3    0.25   0.25   0.01 0.01  0.02 0.02  1887  0.0 
  800   0.009   0.017  0.013  0.86   0.02 0.02  0.01 0.02  3339  49.4 
  800   0.017   0.025  0.021  0.73   0.02 0.02  0.01 0.01  2360  3.1 
  800   0.025   0.037  0.032  0.63   0.01 0.01  0.01 0.01  2453  7.4 
  800   0.037   0.06   0.05   0.52   0.01 0.01  0.01 0.01  2719  0.0 
  800   0.06    0.1    0.08   0.45   0.01 0.01  0.01 0.01  2332  0.0 
  800   0.1     0.17   0.13   0.38   0.01 0.01  0.00 0.00  1903  0.0 
  800   0.17    0.3    0.25   0.26   0.01 0.01  0.01 0.01  1405  0.0 
 1200   0.01    0.017  0.014  0.89   0.02 0.02  0.02 0.03  2217  75.7 
 1200   0.017   0.025  0.021  0.79   0.02 0.02  0.01 0.01  2553  23.2 
 1200   0.025   0.037  0.032  0.61   0.01 0.01  0.01 0.01  2478  11.7 
 1200   0.037   0.06   0.05   0.55   0.01 0.01  0.01 0.01  3197  1.3 
 1200   0.06    0.1    0.08   0.46   0.01 0.01  0.01 0.01  3039  0.0 
 1200   0.1     0.17   0.13   0.38   0.01 0.00  0.00 0.00  2451  0.0 
 1200   0.17    0.3    0.25   0.25   0.01 0.01  0.01 0.01  1872  0.0 
 1200   0.3     0.53   0.4    0.12   0.01 0.01  0.01 0.01  641  0.0 
 1500   0.017   0.025  0.021  0.76   0.02 0.02  0.02 0.02  1273  58.3 
 1500   0.025   0.037  0.032  0.63   0.02 0.02  0.00 0.00  1402  7.1 
 1500   0.03    0.06   0.05   0.52   0.01 0.01  0.00 0.00  1756  1.4 
 1500   0.06    0.1    0.08   0.48   0.01 0.01  0.00 0.01  1887  0.0 
 1500   0.1     0.15   0.13   0.38   0.01 0.01  0.01 0.01  1201  0.0 
 1500   0.15    0.23   0.18   0.31   0.01 0.01  0.01 0.01  1028  0.0 
 1500   0.23    0.35   0.25   0.26   0.01 0.01  0.00 0.01  729  0.0 
 1500   0.35    0.53   0.4    0.13   0.01 0.01  0.01 0.01  318  0.0 
 2000   0.02    0.037  0.032  0.64   0.02 0.02  0.02 0.01  977  19.1 
 2000   0.037   0.06   0.05   0.57   0.02 0.02  0.01 0.00  1229  0.0 
 2000   0.06    0.1    0.08   0.46   0.01 0.01  0.01 0.01  1246  1.3 
 2000   0.1     0.15   0.13   0.37   0.01 0.01  0.00 0.00  883  0.0 
