 0.00 0.21    0.21 0.42    0.42 0.63   0.63 0.84   0.84 1.05   1.05 1.37   1.37 1.52    1.52 1.74   1.74 1.95   1.95 2.18   2.18 2.50 
      602.00      602.67      620.15      614.69      640.65      647.21      630.74      629.17      648.85      628.13      578.39
                   1.00        0.93        0.89        0.95        0.94        0.72        1.37        0.84        0.88        0.85        0.89
                    1.16        0.99        0.97        1.12        1.07        0.83        1.30        0.78        0.88        0.87        0.98
                  1.33        1.17        1.17        1.20        1.26        1.19        1.73        1.15        1.29        1.21        1.39
                   2.03        1.79        1.76        1.89        1.90        1.62        2.56        1.63        1.79        1.71        1.92
       1          0.23        0.23        0.23        0.23        0.23        0.23        0.23        0.23        0.23        0.23        0.23
       2         -0.18       -0.18       -0.18       -0.18       -0.18       -0.18       -0.18       -0.18       -0.18       -0.18       -0.18
       3          0.09        0.09        0.09        0.09        0.09        0.09        0.09        0.09        0.09        0.09        0.09
       4          0.20        0.20        0.20        0.20        0.20        0.20        0.20        0.20        0.20        0.20        0.20
       5          0.03        0.03        0.03        0.04        0.04        0.04        0.06        0.04        0.05        0.03        0.02
       6         -0.01       -0.01       -0.01       -0.01        0.00       -0.01       -0.02       -0.01       -0.01        0.00       -0.01
       7          0.03        0.03        0.02        0.04        0.04        0.02        0.02        0.02        0.02        0.03        0.08
       8          0.03        0.03        0.04        0.02        0.04        0.00       -0.03        0.00        0.00        0.03       -0.03
       9          0.08        0.08        0.06        0.09        0.07        0.11        0.17        0.11        0.12        0.11        0.05
      10          0.10        0.11        0.14        0.12        0.11        0.15        0.18        0.11        0.12        0.12        0.11
      11          0.13        0.12        0.13        0.12        0.19        0.11        0.12        0.12        0.13        0.13        0.24
      12          0.08        0.08        0.07        0.07        0.10        0.10        0.07        0.11        0.11        0.11        0.01
      13         -0.43       -0.39       -0.40       -0.47       -0.48       -0.46       -0.61       -0.49       -0.51       -0.44       -0.48
      14          0.03        0.01        0.04        0.01        0.05        0.08        0.08        0.06        0.09        0.07        0.05
      15         -0.17       -0.15       -0.16       -0.16       -0.22       -0.23       -0.18       -0.26       -0.26       -0.26       -0.29
      16         -0.22       -0.19       -0.17       -0.23       -0.23       -0.22       -0.26       -0.21       -0.24       -0.17       -0.24
      17         -0.59       -0.60       -0.55       -0.63       -0.46       -0.66       -1.00       -0.64       -0.62       -0.60       -0.82
      18          0.37        0.34        0.47        0.47        0.64        0.36        0.40        0.37        0.46        0.36        0.46
      19          0.21        0.31        0.44        0.35        0.28        0.29        0.10        0.17        0.28        0.21        0.23
      20          0.30        0.20        0.17        0.23        0.28        0.29        0.48        0.27        0.37        0.25        0.19
      21         -0.18       -0.19       -0.28       -0.10       -0.31       -0.17       -0.30       -0.11       -0.16       -0.25       -0.33
      22         -0.05       -0.08       -0.12       -0.01       -0.08        0.00        0.03        0.01        0.11       -0.01        0.08
      23          0.09        0.08        0.06        0.05        0.01       -0.05       -0.19       -0.11       -0.10       -0.10       -0.19
      24         -0.08       -0.14       -0.05       -0.13        0.26       -0.04       -0.07        0.14       -0.12       -0.03       -0.04
      25         -0.24       -0.13        0.06       -0.09       -0.03        0.02        0.02        0.03       -0.02       -0.07       -0.01
      26          0.74        0.45        0.05        0.18        0.04        0.22        0.49        0.13        0.27        0.44        0.27
      27          0.09        0.16        0.23        0.14        0.13        0.18        0.41        0.18        0.22        0.18        0.19
      28          0.12        0.21        0.25        0.26        0.18        0.21        0.46        0.18        0.29        0.24        0.31
      29          0.07        0.06        0.03        0.03        0.05        0.05        0.15        0.05        0.08        0.09        0.06
      30         -0.18       -0.10       -0.07       -0.09       -0.19       -0.09        0.36       -0.03       -0.02       -0.06       -0.02

