0.0	0.2	0.1	2.10 	 0.12 	 0.006	0.002	0.02	0.003	0.004	0.028	0.026	0.054	0.082	
0.2	0.4	0.3	5.23 	 0.11 	 0.006	0.018	0.01	0.018	0.026	0.075	0.054	0.056	0.081 
0.4	0.6	0.5	9.16 	 0.11 	 0.012	0.024	0.027	0.025	0.035	0.105	0.087	0.059	0.08
0.6	0.8	0.7	11.97 	 0.11 	 0.007	0.034	0.004	0.034	0.049	0.132	0.181	0.06	0.08
0.8	1.0	0.9	14.52 	 0.12 	 0.012	0.036	0.012	0.036	0.053	0.172	0.237	0.076	0.085
1.0	1.2	1.1	15.59 	 0.18 	 0.009	0.037	0.047	0.037	0.055	0.242	0.271	0.12	0.117 
1.2	1.6	1.39	15.37 	 0.67 	 0.003	0.042	0.064	0.039	0.058	0.41	0.394	0.167	0.104
1.6	1.8	1.7	11.05 	 0.31 	 0.011	0.028	0.018	0.022	0.034	0.426	0.137	0.153	0.095
1.8	2.0	1.9	6.66 	 1.19 	 0.034	0.036	0.107	0.005	0.01	0.421	0.143	0.246	0.113
2.0	2.2	2.1	-1.55 	 0.53 	 0.037	0.036	0.138	0.004	0.007	0.333	0.175	0.437	0.147
2.2	2.4	2.3	-9.97 	 0.71 	 0.019	0.03	0.278	0.002	0.005	0.34	0.154	0.715	0.193
2.4	2.7	2.54	-19.10 	 0.41 	 0.021	0.043	0.554	0.029	0.048	0.424	0.216	0.865	0.236 
2.7	3.2	2.92	-39.97 	 0.93 	 0.005	0.087	0.9	0.081	0.13	0.348	0.399	1.89	0.548 
