1 172 194 1 0.9717 2.9282e+02 0.5113 0.3588 0.8574 1.7003 0.3372 0.2775 4.6237 3.3243 0.0080 0.0078 0.0277 0.0225 0.0314 0.0454 0.0706 0.1627 0.3274 0.4234 0.0521 0.0059 0.0040 0.0169 0.0239 0.0796 0.0886 0.0561 -0.0181 -0.0157 -0.0036 0.0004 0.0002 0.0313 0.0080 0.0012 -0.0007 0.0000 -0.0001 0.0001 0.0000 -0.0004 0.0000 0.0831 0.1134 0.0424 0.0169 -0.0318 0.0439 0.0815 0.1160 0.4020 0.2753 0.0642 0.3469 0.4830 0.8295 -0.9030 -0.5476 -2.0341 0.0000 0.5039 0.0361 0.2486 1.1025 0.0931 0.0189 1.5310 0.1639 0.0032 0.5000 1.8000 
1 194 216 1 0.9726 1.5405e+02 0.6202 0.3608 0.9157 1.6506 0.3208 0.2526 4.2637 3.5177 0.0056 0.0053 0.0307 0.0199 0.0298 0.0318 0.0510 0.1172 0.2596 0.4193 0.1225 0.0060 0.0039 0.0122 0.0168 0.0663 0.0910 0.1052 0.0263 -0.0213 -0.0138 0.0005 0.0002 0.0374 0.0074 -0.0003 -0.0024 0.0001 -0.0001 0.0001 0.0000 -0.0004 0.0000 0.1073 0.1756 0.0580 0.0434 -0.0261 0.0876 0.1282 0.1631 0.3764 0.2639 0.0644 0.3054 0.5078 0.7994 -0.8422 -0.5337 -2.0855 0.0000 0.4344 0.0287 0.2197 0.9520 0.2000 0.0150 1.3771 0.1325 0.0033 0.5000 1.8000 
1 216 240 1 0.9736 8.3338e+01 0.4689 0.3265 0.9847 1.5272 0.2790 0.2299 3.8608 3.6283 0.0040 0.0039 0.0309 0.0207 0.0267 0.0233 0.0409 0.0859 0.2058 0.3597 0.1763 0.0067 0.0035 0.0090 0.0121 0.0498 0.0797 0.1402 0.0888 -0.0140 -0.0265 -0.0025 0.0004 0.0368 0.0031 0.0005 -0.0050 0.0001 -0.0001 0.0001 0.0000 -0.0004 0.0000 0.1211 0.2335 0.0652 0.0849 0.0084 0.1374 0.1739 0.1995 0.3571 0.2498 0.0681 0.2572 0.5476 0.7866 -0.7641 -0.4827 -1.9894 0.0000 0.3631 0.0209 0.1925 0.8125 0.2786 0.0142 1.1650 0.1045 0.0264 0.5000 1.8000 
1 240 264 1 0.9745 4.6253e+01 0.6332 0.3339 1.0434 1.3791 0.2456 0.2117 3.4827 3.7491 0.0030 0.0031 0.0372 0.0222 0.0241 0.0188 0.0365 0.0695 0.1679 0.2891 0.2054 0.0075 0.0031 0.0075 0.0098 0.0372 0.0648 0.1532 0.1469 0.0232 -0.0337 -0.0129 0.0005 0.0336 -0.0012 0.0032 -0.0073 -0.0005 -0.0001 0.0001 0.0000 -0.0004 0.0000 0.1267 0.2914 0.0791 0.1319 0.0710 0.1883 0.2112 0.2274 0.3424 0.2440 0.0793 0.2122 0.6027 0.7923 -0.7003 -0.4330 -1.7716 0.0000 0.3078 0.0160 0.1674 0.6917 0.3206 0.0141 1.0217 0.0892 0.0031 0.5000 1.8000 
1 264 290 1 0.9753 2.6930e+01 0.7894 0.3299 1.0560 1.2548 0.2441 0.1966 3.1547 3.8869 0.0024 0.0025 0.0484 0.0225 0.0213 0.0163 0.0340 0.0596 0.1396 0.2253 0.2112 0.0082 0.0027 0.0075 0.0092 0.0289 0.0526 0.1474 0.1852 0.0813 -0.0211 -0.0320 -0.0026 0.0275 -0.0036 0.0092 -0.0064 -0.0016 -0.0004 0.0001 0.0000 -0.0004 0.0000 0.1229 0.3375 0.0990 0.1758 0.1378 0.2363 0.2392 0.2495 0.3308 0.2459 0.0884 0.1751 0.6630 0.8032 -0.6800 -0.4114 -1.5049 0.0000 0.2650 0.0129 0.1429 0.5840 0.3271 0.0127 0.9889 0.0875 0.0135 0.5000 1.8000 
1 290 318 1 0.9762 1.5406e+01 1.0398 0.3641 0.9930 1.1608 0.2226 0.1834 2.8424 3.9127 0.0021 0.0021 0.0572 0.0235 0.0193 0.0147 0.0321 0.0496 0.1200 0.1732 0.2028 0.0087 0.0024 0.0080 0.0089 0.0241 0.0444 0.1324 0.2017 0.1411 0.0324 -0.0525 -0.0110 0.0202 -0.0045 0.0199 0.0029 -0.0028 -0.0012 0.0000 0.0000 -0.0004 0.0000 0.1136 0.3679 0.1184 0.2153 0.1951 0.2820 0.2605 0.2684 0.3215 0.2517 0.0937 0.1468 0.7204 0.8121 -0.7173 -0.4356 -1.3211 0.0000 0.2285 0.0104 0.1233 0.4853 0.3080 0.0105 1.0006 0.0876 0.0266 0.5000 1.8000 
1 318 346 1 0.9770 9.0786e+00 0.9480 0.4577 0.8763 1.0878 0.2514 0.1698 2.5344 3.8684 0.0019 0.0019 0.0573 0.0249 0.0182 0.0140 0.0308 0.0422 0.1081 0.1393 0.1860 0.0089 0.0020 0.0078 0.0083 0.0214 0.0383 0.1135 0.1973 0.1817 0.1157 -0.0598 -0.0286 0.0144 -0.0048 0.0301 0.0172 -0.0031 -0.0027 -0.0006 0.0001 -0.0004 0.0000 0.1036 0.3866 0.1302 0.2462 0.2398 0.3246 0.2710 0.2806 0.3124 0.2539 0.0990 0.1285 0.7573 0.8100 -0.7774 -0.4932 -1.3347 0.0000 0.1970 0.0087 0.1112 0.4005 0.2724 0.0087 0.9592 0.0775 0.0004 0.5000 1.8000 
1 346 376 1 0.9778 5.4086e+00 0.4982 0.6147 0.7523 1.0309 0.2107 0.1547 2.2419 3.8680 0.0019 0.0018 0.0514 0.0247 0.0173 0.0137 0.0282 0.0372 0.0925 0.1118 0.1590 0.0083 0.0013 0.0070 0.0075 0.0190 0.0319 0.0891 0.1738 0.2035 0.2087 -0.0310 -0.0535 0.0100 -0.0050 0.0339 0.0325 0.0026 -0.0048 -0.0026 0.0002 -0.0005 0.0000 0.0927 0.4022 0.1379 0.2751 0.2804 0.3682 0.2768 0.2882 0.3081 0.2524 0.0984 0.1085 0.7867 0.8101 -0.8139 -0.5347 -1.4414 0.0000 0.1643 0.0079 0.0960 0.3364 0.2329 0.0077 0.8837 0.0610 0.0215 0.5000 1.8000 
1 376 408 1 0.9785 3.2134e+00 0.2727 0.4703 0.6201 1.0004 0.2035 0.1494 1.9756 3.8038 0.0018 0.0018 0.0472 0.0236 0.0169 0.0132 0.0252 0.0326 0.0732 0.0860 0.1313 0.0070 0.0015 0.0064 0.0069 0.0170 0.0258 0.0656 0.1460 0.2213 0.3054 0.0622 -0.0675 0.0064 -0.0054 0.0332 0.0508 0.0025 -0.0067 -0.0065 -0.0004 -0.0009 0.0000 0.0849 0.4241 0.1535 0.3161 0.3240 0.4157 0.2943 0.3005 0.3206 0.2599 0.0945 0.0855 0.8346 0.8296 -0.7737 -0.5129 -1.4375 0.0000 0.1367 0.0076 0.0771 0.3013 0.2035 0.0072 0.8580 0.0473 0.0032 0.5000 1.8000 
1 408 442 1 0.9793 1.9304e+00 0.3277 0.4726 0.4544 0.9878 0.2401 0.1532 1.7328 3.8965 0.0018 0.0017 0.0458 0.0242 0.0170 0.0128 0.0238 0.0287 0.0587 0.0675 0.1110 0.0061 0.0012 0.0062 0.0065 0.0155 0.0224 0.0513 0.1250 0.2331 0.3836 0.2085 -0.0432 0.0038 -0.0055 0.0319 0.0664 0.0091 -0.0056 -0.0119 -0.0033 -0.0016 0.0000 0.0805 0.4532 0.1747 0.3625 0.3606 0.4561 0.3234 0.3118 0.3432 0.2765 0.0962 0.0682 0.8886 0.8509 -0.6003 -0.4025 -1.2149 0.0000 0.1195 0.0074 0.0629 0.2845 0.1811 0.0074 0.8664 0.0401 0.0188 0.5000 1.8000 
