125 150 944 0.4 8.2 -7.3	2.1
150 175 419 0.6 8.3 -7.8	2.1
175 200 211 0.8 8.6 -8.1	2.1
200 250 91.6 0.9 8.8 -8.5	2.1
250 300 33.4 1.5 9.3 -8.7	2.1
300 350 13.8 2.3 9.7 -8.9	2.1
350 400 6.00 3.5 10.4 -9.3	2.1
400 470 2.93 4.3 11.1 -9.9	2.1
470 550 1.10 6.6 12.1 -10.8	2.1
550 650 0.340 10.6 13.2 -11.7	2.1
650 750 0.109 19.4 15.1 -13.7	2.1
750 900 0.0297 37.6 16.4 -15.1	2.1
900 1100 0.0057 57.9 19.3 -18.5	2.1

# d#sigma/dE_{T}^{#gamma} [fb / GeV]
# 1.56 < |#eta^{#gamma}| < 1.81

# Correlation information:
# Systematics are already combined

# BinLowEdge, BinHighEdge, Cross Section(fb/GeV), statistical Uncertainty (%),
# Total systematic uncertainty %),
# ATLAS2015Luminosity (%) from [1701.06882] sec	7.1
# Datafiles from http://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/STDM-2016-08/
