# data from table 5 1608.01484
# etamin	etamx	sigma[pb]	stat	sys	sys_beam_en	
2.00	2.25	26.78	0.36	0.70	0.07	 
2.25	2.50	26.98	0.32	0.66	0.07
2.50	2.75	25.84	0.33	0.60	0.07
2.75	3.00	20.39	0.36	0.74	0.07
3.00	3.25	14.15	0.39	0.70	0.07
3.25	3.50	5.25	0.47	1.11	0.07
3.50	3.75	-6.25	0.60	1.28	0.07
3.75	4.25	-23.85	0.75	1.72	0.07
