     1.00          -95.7217          0.842031
     3.00           119.268          0.656576
     5.00           81.0991          0.306267
     7.00           56.8297          0.185514
     9.00           42.3371          0.126548
    11.00           32.8717         0.0932047
    13.00            26.069         0.0728691
    15.00           21.1873         0.0582672
    17.00           17.9135         0.0481492
    20.00           26.7919         0.0430921
    24.00           19.9784         0.0332355
    28.00           15.1745         0.0274782
    32.00           11.9069         0.0223441
    36.00           9.43812         0.0195308
    40.00           7.62884         0.0168068
    44.00           6.29615         0.0154771
    48.00            5.2191         0.0141035
    52.00           4.40229         0.0128944
    57.00           5.29682         0.0114709
    65.00           6.16855         0.0103831
    75.00           4.24645        0.00859037
    90.00           4.78968        0.00790704
   125.00           4.04302        0.00702415
   175.00           1.14016        0.00577435
   250.00          0.512795         0.0057579
   550.00          0.101325        0.00621352
