     1.00   -97.080294       0.25488794    
     3.00    178.51459       0.16095581    
     5.00    86.225251       0.82572027E-01
     7.00    53.096089       0.52429327E-01
     9.00    36.655174       0.38438411E-01
    11.00    26.995889       0.30023868E-01
    13.00    20.691772       0.24333051E-01
    15.00    16.456384       0.20358065E-01
    17.00    13.649617       0.17469343E-01
    20.00    20.012102       0.20613192E-01
    24.00    14.706322       0.16383702E-01
    28.00    11.085320       0.13428421E-01
    32.00    8.5893423       0.11375309E-01
    36.00    6.7734425       0.97658129E-02
    40.00    5.4559105       0.85163634E-02
    44.00    4.4613546       0.74835654E-02
    48.00    3.6826869       0.66268703E-02
    52.00    3.1023397       0.59268515E-02
    57.00    3.7147972       0.63658242E-02
    65.00    4.3516086       0.67351757E-02
    75.00    2.9906213       0.52269166E-02
    90.00    3.3417970       0.52015986E-02
   125.00    2.8341817       0.42772653E-02
   175.00   0.80308941       0.17534138E-02
   250.00   0.37440939       0.92656769E-03
   550.00   0.78575649E-01   0.24836964E-03
