#: table_doi: 10.17182/hepdata.32752.v1/t16
#: name: Table 16
#: description: Corrected F2P measurements averaged over all energies. Data are the statistically weighted averages given at the centre of each bin.

#: data_file: Table16.yaml
#: keyword reactions: MUON P --> MUON X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Deep Inelastic Scattering
#: keyword cmenergies: 21.677
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE,MUON P --> MUON X
#: SQRT(S) [GeV],21.677
#: X,0.5
Q**2 [GEV**2],SIG(L)/SIG(T),F2,stat +,stat -,sys +,sys -
5.5,0.109,0.1558,0.0158,-0.0158,0.0182,-0.0182
7.0,0.091,0.1654,0.0077,-0.0077,0.0161,-0.0161
9.0,0.075,0.1377,0.0063,-0.0063,0.0107,-0.0107
11.5,0.063,0.1443,0.0081,-0.0081,0.0085,-0.0085
15.0,0.052,0.1344,0.0101,-0.0101,0.0055,-0.0055
20.0,0.043,0.1192,0.0059,-0.0059,0.005,-0.005
27.0,0.035,0.1185,0.0035,-0.0035,0.0051,-0.0051
36.0,0.03,0.1112,0.0028,-0.0028,0.0049,-0.0049
48.0,0.026,0.1042,0.0034,-0.0034,0.0049,-0.0049
65.0,0.022,0.1092,0.0088,-0.0088,0.0057,-0.0057

