#: table_doi: 10.17182/hepdata.84154.v2/t118
#: name: Table 118
#: description: Relative systematics-only correlation matrix of the full phase-space differential cross-section as a function of the the scalar sum of the hadronic and leptonic top-quark transverse momenta $H_{T}^{t\bar{t}}$.

#: data_file: Table_118.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
H_{T}^{t\bar{t}} bin,H_{T}^{t\bar{t}} bin,
1,1,1.0
2,1,-0.348622895016
3,1,-0.77155586854
4,1,-0.933325955279
5,1,-0.554397993905
6,1,0.359247799528
7,1,0.601473120503
8,1,0.679085804429
9,1,0.673401340605
10,1,0.383420899305
11,1,0.586008151057
12,1,0.781405497916
13,1,0.819986036424
14,1,0.43483814175
15,1,-0.669855769101
1,2,-0.348622895016
2,2,1.0
3,2,0.855861655792
4,2,0.456576757743
5,2,-0.519518155896
6,2,-0.974301179593
7,2,-0.87345899062
8,2,-0.823372828409
9,2,-0.654923051582
10,2,-0.614175054027
11,2,-0.644240791597
12,2,-0.610564743889
13,2,-0.600713431331
14,2,-0.577129128394
15,2,0.147503839115
1,3,-0.77155586854
2,3,0.855861655792
3,3,1.0
4,3,0.836378299107
5,3,-0.019663272123
6,3,-0.860620096523
7,3,-0.93978365404
8,3,-0.951990055643
9,3,-0.85499900286
10,3,-0.67942443641
11,3,-0.807397821615
12,3,-0.871689952031
13,3,-0.885795376345
14,3,-0.690860094536
15,3,0.419327303539
1,4,-0.933325955279
2,4,0.456576757743
3,4,0.836378299107
4,4,1.0
5,4,0.512063526439
6,4,-0.523828113444
7,4,-0.777637936642
8,4,-0.835600866833
9,4,-0.866752349521
10,4,-0.617917378867
11,4,-0.794952913397
12,4,-0.925077473502
13,4,-0.955443388644
14,4,-0.685161294833
15,4,0.506274632469
1,5,-0.554397993905
2,5,-0.519518155896
3,5,-0.019663272123
4,5,0.512063526439
5,5,1.0
6,5,0.440924093368
7,5,0.0896247815192
8,5,-0.0147351724387
9,5,-0.211542746863
10,5,-0.05315281321
11,5,-0.16528143204
12,5,-0.316984966095
13,5,-0.344964526446
14,5,-0.12653425251
15,5,0.297193185939
1,6,0.359247799528
2,6,-0.974301179593
3,6,-0.860620096523
4,6,-0.523828113444
5,6,0.440924093368
6,6,1.0
7,6,0.927028019228
8,6,0.866324714921
9,6,0.7331989694
10,6,0.659741888918
11,6,0.705491313005
12,6,0.672552115866
13,6,0.676064003399
14,6,0.66035911606
15,6,-0.142989314419
1,7,0.601473120503
2,7,-0.87345899062
3,7,-0.93978365404
4,7,-0.777637936642
5,7,0.0896247815192
6,7,0.927028019228
7,7,1.0
8,7,0.979236412257
9,7,0.90439830686
10,7,0.796917567833
11,7,0.870135869123
12,7,0.879560933585
13,7,0.885533480302
14,7,0.811246560666
15,7,-0.228000174419
1,8,0.679085804429
2,8,-0.823372828409
3,8,-0.951990055643
4,8,-0.835600866833
5,8,-0.0147351724387
6,8,0.866324714921
7,8,0.979236412257
8,8,1.0
9,8,0.923112910647
10,8,0.822671864518
11,8,0.906941960285
12,8,0.904923734211
13,8,0.915994537462
14,8,0.837591571517
15,8,-0.238662327472
1,9,0.673401340605
2,9,-0.654923051582
3,9,-0.85499900286
4,9,-0.866752349521
5,9,-0.211542746863
6,9,0.7331989694
7,9,0.90439830686
