#: table_doi: 10.17182/hepdata.84154.v2/t125
#: name: Table 125
#: description: Absolute systematics-only correlation matrix of the full phase-space differential cross-section as a function of the production angle $\chi^{t\bar{t}}$.

#: data_file: Table_125.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
\chi^{t\bar{t}} bin,\chi^{t\bar{t}} bin,
1,1,1.0
2,1,0.96258388402
3,1,0.927846023796
4,1,0.926989822874
5,1,0.918120990961
6,1,0.924486005509
7,1,0.942819409829
8,1,0.942118737191
9,1,0.955156882056
10,1,0.910141468179
1,2,0.96258388402
2,2,1.0
3,2,0.993952035402
4,2,0.993490119331
5,2,0.989466032284
6,2,0.989024070284
7,2,0.987739358857
8,2,0.98246256042
9,2,0.929212178882
10,2,0.841029026657
1,3,0.927846023796
2,3,0.993952035402
3,3,1.0
4,3,0.999788918566
5,3,0.997758612234
6,3,0.994646438066
7,3,0.986343082178
8,3,0.98150960759
9,3,0.905382339498
10,3,0.802528793823
1,4,0.926989822874
2,4,0.993490119331
3,4,0.999788918566
4,4,1.0
5,4,0.998526561183
6,4,0.99601417316
7,4,0.988363828083
8,4,0.983403872263
9,4,0.908046052371
10,4,0.807318725486
1,5,0.918120990961
2,5,0.989466032284
3,5,0.997758612234
4,5,0.998526561183
5,5,1.0
6,5,0.998601522207
7,5,0.990944007073
8,5,0.984766649576
9,5,0.90729394157
10,5,0.807843044606
1,6,0.924486005509
2,6,0.989024070284
3,6,0.994646438066
4,6,0.99601417316
5,6,0.998601522207
6,6,1.0
7,6,0.995976636308
8,6,0.987719651058
9,6,0.917265323085
10,6,0.826828849039
1,7,0.942819409829
2,7,0.987739358857
3,7,0.986343082178
4,7,0.988363828083
5,7,0.990944007073
6,7,0.995976636308
7,7,1.0
8,7,0.993254186724
9,7,0.943844815305
10,7,0.870548724574
1,8,0.942118737191
2,8,0.98246256042
3,8,0.98150960759
4,8,0.983403872263
5,8,0.984766649576
6,8,0.987719651058
7,8,0.993254186724
8,8,1.0
9,8,0.964069152778
10,8,0.890470705481
1,9,0.955156882056
2,9,0.929212178882
3,9,0.905382339498
4,9,0.908046052371
5,9,0.90729394157
6,9,0.917265323085
7,9,0.943844815305
8,9,0.964069152778
9,9,1.0
10,9,0.973642202753
1,10,0.910141468179
2,10,0.841029026657
3,10,0.802528793823
4,10,0.807318725486
5,10,0.807843044606
6,10,0.826828849039
7,10,0.870548724574
8,10,0.890470705481
9,10,0.973642202753
10,10,1.0

