#: table_doi: 10.17182/hepdata.84154.v2/t69
#: name: Table 69
#: description: Absolute systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the $t\bar{t}$ system azimuthal angle $\Delta \phi^{t\bar{t}}$.

#: data_file: Table_69.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
\Delta \phi^{t\bar{t}} bin,\Delta \phi^{t\bar{t}} bin,
1,1,1.0
2,1,0.994531369949
3,1,0.988692875126
4,1,0.972399865852
1,2,0.994531369949
2,2,1.0
3,2,0.994972756941
4,2,0.973553601359
1,3,0.988692875126
2,3,0.994972756941
3,3,1.0
4,3,0.98770383952
1,4,0.972399865852
2,4,0.973553601359
3,4,0.98770383952
4,4,1.0

