#: table_doi: 10.17182/hepdata.84154.v2/t40
#: name: Table 40
#: description: Full phase-space relative differential cross-sections after combining the e+jets and $\mu$+jets channels for $y_{boost}^{t\bar{t}}$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_40.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DYBOOST_TTBAR
#: keyword phrases: Inclusive | Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
YBOOST_TTBAR,YBOOST_TTBAR LOW,YBOOST_TTBAR HIGH,1/SIG*DSIG/DYBOOST_TTBAR,stat +,stat -,sys +,sys -
0.05,0.0,0.1,0.864499,0.736%,-0.736%,1.811%,-1.67%
0.15000000000000002,0.1,0.2,0.854997,0.558%,-0.558%,1.48%,-1.514%
0.25,0.2,0.3,0.833944,0.512%,-0.512%,0.953%,-0.862%
0.35,0.3,0.4,0.812488,0.529%,-0.529%,1.163%,-0.944%
0.45,0.4,0.5,0.784195,0.56%,-0.56%,0.974%,-0.758%
0.55,0.5,0.6,0.745457,0.606%,-0.606%,0.715%,-0.604%
0.6499999999999999,0.6,0.7,0.700864,0.631%,-0.631%,0.873%,-0.843%
0.75,0.7,0.8,0.651205,0.665%,-0.665%,0.975%,-0.818%
0.8500000000000001,0.8,0.9,0.596981,0.708%,-0.708%,0.872%,-0.429%
0.95,0.9,1.0,0.534587,0.761%,-0.761%,0.713%,-0.695%
1.05,1.0,1.1,0.475739,0.831%,-0.831%,0.848%,-0.879%
1.15,1.1,1.2,0.419693,0.913%,-0.913%,0.823%,-1.474%
1.25,1.2,1.3,0.369989,0.985%,-0.985%,0.838%,-1.946%
1.35,1.3,1.4,0.321056,1.094%,-1.094%,1.119%,-2.282%
1.45,1.4,1.5,0.273087,1.183%,-1.183%,1.756%,-2.812%
1.75,1.5,2.0,0.152244,1.612%,-1.612%,4.172%,-4.014%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
YBOOST_TTBAR,YBOOST_TTBAR LOW,YBOOST_TTBAR HIGH,DSIG/DYBOOST_TTBAR (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -"
0.05,0.0,0.1,0.864499,0.736%,-0.736%,0.036%,-0.031%,0.027%,-0.027%,-0.358%,0.358%,-0.324%,0.332%,0.016%,0.0%,-0.04%,0.04%,0.048%,-0.055%,-0.104%,0.09%,0.0%,-0.09%,0.009%,-0.03%,0.62%,-0.62%,0.002%,0.0%,-0.074%,0.078%,0.002%,0.0%,0.072%,-0.028%,-0.02%,0.02%,0.005%,0.0%,0.0%,-0.0%,-0.008%,0.009%,0.073%,-0.073%,-0.161%,0.161%,0.021%,-0.021%,0.023%,-0.024%,0.003%,-0.003%,-0.014%,0.015%,-0.142%,0.081%,0.024%,-0.018%,0.007%,-0.006%,0.0%,-0.015%,-0.086%,0.089%,-0.006%,0.013%,-0.005%,0.011%,0.0%,-0.0%,0.017%,0.0%,0.01%,0.0%,0.049%,-0.049%,-0.006%,0.021%,0.011%,-0.011%,0.162%,-0.162%,1.353%,-1.147%,-0.017%,0.017%,0.841%,-0.841%,0.025%,-0.068%,0.092%,-0.092%,0.011%,-0.011%,-0.003%,0.007%,0.029%,-0.029%,-0.005%,0.024%,0.011%,0.0%,-0.018%,0.018%,-0.037%,0.021%,0.0%,-0.004%,0.184%,-0.184%,0.018%,0.0%,-0.105%,0.026%
0.15000000000000002,0.1,0.2,0.854997,0.558%,-0.558%,0.029%,-0.025%,0.013%,-0.013%,-0.336%,0.336%,-0.303%,0.316%,0.009%,0.0%,-0.027%,0.027%,0.058%,-0.069%,-0.101%,0.099%,0.0%,-0.091%,0.017%,-0.026%,0.827%,-0.827%,-0.003%,0.003%,-0.066%,0.06%,0.004%,0.0%,0.034%,-0.002%,-0.02%,0.02%,0.003%,-0.004%,0.0%,-0.0%,-0.021%,0.021%,0.05%,-0.05%,-0.148%,0.148%,0.002%,-0.002%,0.021%,-0.022%,0.0%,-0.0%,0.0%,-0.007%,-0.116%,0.106%,0.017%,-0.009%,0.001%,-0.002%,-0.023%,0.007%,-0.085%,0.088%,0.016%,0.0%,-0.007%,0.007%,0.0%,-0.0%,0.016%,0.0%,0.021%,0.0%,0.039%,-0.039%,-0.001%,0.047%,0.008%,-0.008%,0.163%,-0.163%,0.912%,-0.965%,-0.051%,0.051%,0.591%,-0.591%,0.062%,-0.045%,0.055%,-0.055%,0.02%,-0.02%,-0.006%,0.006%,0.028%,-0.029%,0.017%,0.0%,-0.005%,0.035%,-0.01%,0.009%,-0.024%,0.056%,0.001%,0.0%,0.14%,-0.14%,0.008%,0.0%,-0.087%,0.049%
0.25,0.2,0.3,0.833944,0.512%,-0.512%,0.029%,-0.025%,0.005%,-0.005%,-0.307%,0.307%,-0.267%,0.294%,0.001%,0.0%,-0.013%,0.013%,0.065%,-0.059%,-0.088%,0.117%,0.0%,-0.087%,0.029%,0.0%,0.297%,-0.297%,-0.003%,0.003%,-0.06%,0.093%,-0.003%,0.004%,0.028%,0.0%,-0.019%,0.019%,0.0%,-0.005%,0.0%,-0.0%,-0.019%,0.019%,0.07%,-0.07%,-0.131%,0.131%,-0.006%,0.006%,0.021%,-0.022%,-0.003%,0.003%,0.013%,-0.001%,-0.053%,0.122%,0.014%,0.0%,0.0%,-0.003%,0.017%,0.0%,-0.083%,0.085%,-0.015%,0.039%,-0.011%,0.01%,0.0%,-0.0%,0.036%,0.0%,0.034%,0.0%,0.057%,-0.057%,0.029%,0.0%,0.007%,-0.007%,0.182%,-0.182%,0.688%,-0.615%,-0.029%,0.029%,0.117%,-0.117%,0.094%,-0.018%,0.031%,-0.031%,0.019%,-0.019%,-0.007%,0.006%,0.026%,-0.027%,0.014%,0.0%,-0.006%,0.035%,-0.003%,0.003%,0.092%,0.0%,0.005%,0.0%,0.13%,-0.13%,0.01%,0.0%,-0.025%,0.111%
0.35,0.3,0.4,0.812488,0.529%,-0.529%,0.021%,-0.018%,0.002%,-0.002%,-0.302%,0.302%,-0.241%,0.26%,0.0%,-0.013%,-0.017%,0.017%,0.085%,-0.054%,-0.103%,0.102%,0.0%,-0.077%,0.018%,0.0%,0.284%,-0.284%,-0.006%,0.001%,-0.064%,0.097%,0.002%,0.0%,0.0%,-0.037%,-0.018%,0.018%,0.0%,-0.009%,0.0%,-0.0%,-0.024%,0.023%,0.09%,-0.09%,-0.127%,0.127%,-0.006%,0.006%,0.024%,-0.025%,-0.01%,0.01%,0.003%,0.0%,-0.057%,0.072%,0.007%,0.0%,0.0%,-0.008%,0.023%,0.0%,-0.079%,0.081%,-0.032%,0.027%,0.009%,0.0%,0.0%,-0.0%,0.018%,-0.011%,0.013%,0.0%,0.067%,-0.067%,0.0%,-0.021%,0.005%,-0.005%,0.119%,-0.119%,0.953%,-0.687%,-0.024%,0.024%,-0.316%,0.316%,0.058%,-0.041%,0.01%,-0.01%,0.007%,-0.007%,0.0%,-0.006%,0.024%,-0.024%,0.0%,-0.003%,-0.001%,0.005%,-0.004%,0.004%,-0.05%,0.061%,-0.006%,0.002%,0.135%,-0.135%,0.011%,-0.011%,-0.047%,0.095%
0.45,0.4,0.5,0.784195,0.56%,-0.56%,0.016%,-0.014%,0.013%,-0.013%,-0.288%,0.288%,-0.209%,0.216%,0.009%,-0.018%,-0.033%,0.033%,0.09%,-0.062%,-0.117%,0.079%,0.0%,-0.079%,0.023%,-0.025%,0.218%,-0.218%,0.005%,0.0%,-0.062%,0.084%,-0.002%,0.0%,0.0%,-0.04%,-0.017%,0.017%,0.0%,-0.002%,0.0%,-0.0%,-0.021%,0.021%,0.073%,-0.073%,-0.118%,0.118%,-0.006%,0.006%,0.021%,-0.022%,-0.013%,0.013%,0.002%,-0.007%,-0.046%,0.029%,-0.008%,0.016%,-0.007%,0.009%,0.022%,0.0%,-0.073%,0.075%,-0.031%,0.024%,-0.001%,0.009%,0.0%,-0.0%,0.014%,-0.009%,-0.021%,0.034%,0.011%,-0.011%,0.0%,-0.039%,0.005%,-0.005%,0.132%,-0.132%,0.828%,-0.534%,-0.005%,0.005%,0.089%,-0.089%,0.025%,-0.063%,-0.024%,0.024%,-0.012%,0.012%,0.007%,0.0%,0.02%,-0.021%,0.008%,-0.015%,-0.014%,0.02%,0.0%,-0.0%,-0.11%,0.019%,-0.006%,0.015%,0.141%,-0.141%,0.015%,-0.006%,-0.089%,0.054%
0.55,0.5,0.6,0.745457,0.606%,-0.606%,0.013%,-0.011%,0.015%,-0.015%,-0.265%,0.265%,-0.18%,0.171%,0.023%,-0.01%,-0.046%,0.046%,0.079%,-0.06%,-0.111%,0.043%,0.0%,-0.075%,0.026%,-0.04%,0.114%,-0.114%,0.007%,-0.001%,-0.046%,0.061%,0.0%,-0.002%,-0.029%,0.037%,-0.016%,0.016%,-0.008%,0.001%,0.0%,-0.0%,-0.016%,0.017%,0.017%,-0.017%,-0.107%,0.107%,-0.004%,0.004%,0.017%,-0.017%,-0.008%,0.008%,0.003%,0.0%,-0.003%,0.011%,-0.014%,0.021%,-0.005%,0.013%,-0.001%,0.001%,-0.064%,0.066%,-0.009%,0.008%,-0.007%,0.007%,0.0%,-0.0%,0.0%,-0.043%,-0.038%,0.042%,-0.044%,0.044%,0.0%,-0.019%,0.005%,-0.005%,0.106%,-0.106%,0.575%,-0.404%,0.006%,-0.006%,-0.121%,0.121%,0.021%,-0.049%,-0.021%,0.021%,-0.019%,0.019%,0.012%,0.0%,0.015%,-0.015%,0.019%,-0.019%,-0.032%,0.022%,0.004%,-0.005%,-0.062%,0.0%,-0.008%,0.015%,0.148%,-0.148%,0.015%,-0.006%,0.029%,0.0%
0.6499999999999999,0.6,0.7,0.700864,0.631%,-0.631%,0.006%,-0.005%,0.008%,-0.008%,-0.238%,0.238%,-0.128%,0.113%,0.018%,-0.009%,-0.046%,0.046%,0.051%,-0.045%,-0.089%,0.022%,0.0%,-0.078%,0.026%,-0.024%,0.229%,-0.229%,0.005%,-0.01%,-0.026%,0.05%,0.0%,0.002%,-0.033%,0.071%,-0.015%,0.015%,-0.01%,0.008%,0.0%,-0.0%,-0.013%,0.014%,-0.001%,0.001%,-0.094%,0.094%,0.002%,-0.002%,0.005%,-0.005%,0.003%,-0.003%,0.018%,0.0%,0.008%,0.0%,-0.016%,0.017%,-0.006%,0.005%,0.009%,-0.015%,-0.052%,0.053%,0.016%,-0.004%,-0.01%,0.006%,0.0%,-0.0%,0.0%,-0.036%,-0.026%,0.017%,-0.064%,0.064%,-0.005%,0.02%,0.003%,-0.003%,0.066%,-0.066%,0.468%,-0.39%,0.016%,-0.016%,-0.62%,0.62%,0.006%,-0.034%,-0.015%,0.015%,-0.005%,0.005%,0.008%,-0.007%,0.007%,-0.007%,0.025%,-0.029%,-0.047%,0.006%,0.005%,-0.005%,0.0%,-0.02%,0.0%,-0.008%,0.157%,-0.157%,0.002%,-0.013%,0.025%,0.0%
0.75,0.7,0.8,0.651205,0.665%,-0.665%,0.002%,-0.001%,0.006%,-0.006%,-0.164%,0.164%,-0.067%,0.067%,0.018%,-0.007%,-0.02%,0.02%,0.042%,-0.035%,0.029%,-0.055%,0.0%,-0.081%,0.052%,-0.009%,0.477%,-0.477%,0.0%,-0.004%,-0.018%,0.03%,0.003%,0.0%,-0.02%,0.046%,-0.012%,0.013%,-0.001%,0.024%,0.0%,-0.0%,-0.013%,0.013%,-0.029%,0.029%,-0.107%,0.107%,0.01%,-0.01%,-0.007%,0.007%,0.014%,-0.014%,0.036%,0.0%,0.025%,0.0%,0.0%,-0.013%,-0.006%,0.004%,0.004%,-0.011%,-0.036%,0.037%,0.031%,0.0%,-0.006%,0.006%,0.0%,-0.0%,0.056%,0.0%,-0.023%,0.012%,-0.035%,0.035%,-0.007%,0.029%,0.004%,-0.004%,0.052%,-0.052%,0.531%,-0.076%,0.021%,-0.021%,-0.608%,0.608%,0.036%,-0.009%,-0.009%,0.009%,0.028%,-0.028%,0.0%,-0.005%,-0.002%,0.002%,0.012%,-0.028%,-0.04%,0.016%,0.0%,-0.0%,-0.001%,0.035%,0.0%,-0.006%,0.166%,-0.166%,0.0%,-0.017%,-0.027%,0.038%
0.8500000000000001,0.8,0.9,0.596981,0.708%,-0.708%,-0.004%,0.003%,-0.009%,0.009%,-0.062%,0.062%,0.024%,-0.046%,0.007%,-0.009%,0.005%,-0.005%,0.0%,-0.009%,0.155%,-0.076%,0.0%,-0.081%,0.028%,-0.033%,0.239%,-0.239%,0.0%,-0.004%,-0.009%,0.013%,0.001%,0.0%,0.007%,-0.004%,-0.009%,0.009%,-0.006%,0.023%,0.0%,-0.0%,-0.007%,0.007%,-0.051%,0.051%,-0.112%,0.112%,-0.005%,0.005%,-0.015%,0.015%,0.018%,-0.018%,-0.012%,0.015%,-0.002%,0.015%,0.0%,-0.028%,-0.004%,0.003%,0.0%,-0.013%,-0.017%,0.018%,-0.003%,0.005%,0.0%,-0.002%,0.0%,-0.0%,0.032%,0.0%,0.0%,-0.022%,0.033%,-0.033%,-0.042%,0.001%,-0.006%,0.006%,0.038%,-0.038%,0.755%,0.0%,-0.01%,0.01%,-0.28%,0.28%,0.016%,-0.024%,-0.052%,0.052%,0.003%,-0.003%,0.0%,-0.014%,-0.009%,0.01%,0.002%,-0.037%,-0.034%,0.017%,0.0%,-0.0%,-0.005%,0.029%,0.0%,-0.007%,0.174%,-0.174%,0.0%,-0.01%,-0.016%,0.02%
0.95,0.9,1.0,0.534587,0.761%,-0.761%,-0.007%,0.006%,-0.007%,0.007%,0.007%,-0.007%,0.131%,-0.12%,-0.003%,0.004%,0.026%,-0.026%,-0.052%,0.034%,0.158%,-0.07%,0.0%,-0.083%,0.0%,-0.032%,-0.177%,0.177%,0.0%,-0.011%,0.0%,-0.043%,0.004%,0.0%,0.011%,0.0%,-0.005%,0.005%,0.012%,0.0%,0.0%,-0.0%,0.002%,-0.002%,-0.053%,0.053%,-0.076%,0.076%,-0.014%,0.014%,-0.009%,0.009%,0.017%,-0.017%,0.0%,-0.021%,0.059%,0.0%,0.0%,-0.013%,0.007%,-0.004%,0.0%,-0.013%,0.004%,-0.004%,0.0%,-0.027%,0.004%,-0.007%,0.0%,-0.0%,0.0%,-0.031%,0.0%,-0.017%,0.028%,-0.028%,0.01%,-0.02%,-0.001%,0.001%,-0.022%,0.022%,0.119%,-0.048%,-0.028%,0.028%,-0.626%,0.626%,0.011%,0.0%,-0.097%,0.097%,-0.005%,0.005%,0.0%,-0.015%,-0.017%,0.017%,0.0%,-0.013%,-0.005%,0.0%,-0.002%,0.002%,0.032%,0.0%,0.001%,-0.001%,0.182%,-0.182%,0.0%,-0.006%,0.042%,-0.027%
