#: table_doi: 10.17182/hepdata.84154.v2/t17
#: name: Table 17
#: description: Fiducial phase-space absolute differential cross-sections after combining the e+jets and $\mu$+jets channels for $y_{boost}^{t\bar{t}}$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_17.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DYBOOST_TTBAR
#: keyword phrases: Inclusive | Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
YBOOST_TTBAR,YBOOST_TTBAR LOW,YBOOST_TTBAR HIGH,DSIG/DYBOOST_TTBAR,stat +,stat -,sys +,sys -,"sys,luminosity uncertainty +","sys,luminosity uncertainty -"
0.05,0.0,0.1,33.6858,0.862%,-0.862%,20.477%,-20.636%,2.8%,-2.8%
0.15000000000000002,0.1,0.2,33.1143,0.818%,-0.818%,20.628%,-20.745%,2.8%,-2.8%
0.25,0.2,0.3,31.4544,0.853%,-0.853%,21.392%,-21.432%,2.8%,-2.8%
0.35,0.3,0.4,30.1268,0.871%,-0.871%,21.536%,-21.573%,2.8%,-2.8%
0.45,0.4,0.5,28.2998,0.901%,-0.901%,20.711%,-20.555%,2.8%,-2.8%
0.55,0.5,0.6,25.5253,0.953%,-0.953%,20.926%,-20.966%,2.8%,-2.8%
0.6499999999999999,0.6,0.7,22.647,1.019%,-1.019%,21.474%,-21.704%,2.8%,-2.8%
0.75,0.7,0.8,19.9573,1.09%,-1.09%,21.32%,-21.239%,2.8%,-2.8%
0.8500000000000001,0.8,0.9,17.0575,1.158%,-1.158%,20.086%,-20.042%,2.8%,-2.8%
0.95,0.9,1.0,13.6435,1.326%,-1.326%,20.753%,-21.122%,2.8%,-2.8%
1.05,1.0,1.1,11.1139,1.462%,-1.462%,21.51%,-21.534%,2.8%,-2.8%
1.15,1.1,1.2,8.72557,1.676%,-1.676%,19.165%,-19.855%,2.8%,-2.8%
1.25,1.2,1.3,6.76105,1.93%,-1.93%,20.292%,-20.281%,2.8%,-2.8%
1.35,1.3,1.4,4.96655,2.22%,-2.22%,20.135%,-20.509%,2.8%,-2.8%
1.45,1.4,1.5,3.55908,2.882%,-2.882%,19.131%,-19.473%,2.8%,-2.8%
1.75,1.5,2.0,1.01335,2.522%,-2.522%,20.987%,-20.785%,2.8%,-2.8%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
YBOOST_TTBAR,YBOOST_TTBAR LOW,YBOOST_TTBAR HIGH,DSIG/DYBOOST_TTBAR (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -","sys,luminosity uncertainty +","sys,luminosity uncertainty -"
0.05,0.0,0.1,33.6858,0.862%,-0.862%,0.354%,-0.236%,0.472%,-0.387%,0.032%,-0.032%,0.241%,-0.152%,0.084%,0.0%,-0.035%,0.035%,-0.105%,0.209%,-0.004%,0.503%,0.049%,0.0%,0.04%,0.0%,-0.044%,0.044%,-0.023%,0.12%,0.062%,-0.024%,0.043%,0.0%,-0.48%,0.622%,0.276%,-0.192%,0.047%,0.0%,-0.52%,0.52%,0.568%,-0.482%,0.476%,-0.476%,0.173%,-0.173%,0.022%,-0.022%,0.999%,-0.915%,0.082%,-0.082%,-0.002%,0.099%,1.813%,-1.821%,0.252%,-0.154%,0.085%,0.0%,-0.665%,0.629%,1.257%,-1.173%,0.54%,-0.476%,0.059%,0.0%,0.042%,0.0%,0.069%,0.0%,0.252%,-0.149%,0.378%,-0.378%,0.937%,-0.864%,0.052%,-0.052%,0.04%,-0.04%,-4.256%,2.794%,0.528%,-0.528%,-19.055%,19.055%,-1.158%,1.151%,0.373%,-0.373%,0.037%,-0.037%,-0.022%,0.119%,1.382%,-1.297%,-0.351%,0.452%,0.367%,-0.272%,4.294%,-4.129%,1.727%,-1.672%,0.067%,0.0%,0.216%,-0.216%,0.197%,-0.083%,2.25%,-2.268%,2.8%,-2.8%
0.15000000000000002,0.1,0.2,33.1143,0.818%,-0.818%,0.335%,-0.217%,0.441%,-0.358%,0.068%,-0.068%,0.262%,-0.175%,0.073%,0.0%,-0.013%,0.013%,-0.087%,0.157%,-0.01%,0.503%,0.043%,0.0%,0.049%,-0.008%,1.109%,-1.109%,-0.033%,0.124%,0.078%,-0.112%,0.046%,0.0%,-0.555%,0.665%,0.276%,-0.193%,0.051%,0.0%,-0.269%,0.269%,0.529%,-0.445%,0.383%,-0.383%,0.194%,-0.194%,-0.021%,0.021%,0.993%,-0.911%,0.085%,-0.085%,-0.006%,0.044%,1.819%,-1.769%,0.233%,-0.139%,0.073%,0.0%,-0.727%,0.654%,1.258%,-1.175%,0.61%,-0.491%,0.056%,0.0%,0.042%,0.0%,0.053%,-0.011%,0.229%,-0.127%,0.327%,-0.327%,0.929%,-0.77%,0.044%,-0.044%,0.057%,-0.057%,-4.719%,3.605%,0.586%,-0.586%,-19.052%,19.052%,-1.091%,1.188%,0.293%,-0.293%,0.063%,-0.063%,-0.031%,0.116%,1.38%,-1.297%,-0.304%,0.441%,0.342%,-0.205%,4.311%,-4.145%,1.737%,-1.615%,0.069%,0.0%,0.201%,-0.201%,0.166%,-0.078%,2.23%,-2.272%,2.8%,-2.8%
0.25,0.2,0.3,31.4544,0.853%,-0.853%,0.35%,-0.233%,0.438%,-0.354%,0.123%,-0.123%,0.322%,-0.193%,0.086%,0.0%,0.014%,-0.014%,-0.102%,0.2%,0.557%,0.0%,0.058%,0.0%,0.09%,0.0%,-0.024%,0.024%,-0.026%,0.122%,0.092%,-0.003%,0.047%,0.0%,-0.544%,0.749%,0.277%,-0.194%,0.046%,0.0%,0.054%,-0.054%,0.557%,-0.473%,0.445%,-0.445%,0.224%,-0.224%,-0.021%,0.021%,0.989%,-0.907%,0.082%,-0.082%,0.069%,0.0%,1.975%,-1.709%,0.244%,-0.128%,0.075%,0.0%,-0.628%,0.659%,1.262%,-1.178%,0.542%,-0.42%,0.036%,0.0%,0.042%,0.0%,0.151%,0.0%,0.235%,-0.087%,0.378%,-0.378%,1.005%,-0.801%,0.047%,-0.047%,0.07%,-0.07%,-5.207%,4.128%,0.538%,-0.538%,-19.742%,19.742%,-1.011%,1.262%,0.294%,-0.294%,0.062%,-0.062%,-0.028%,0.126%,1.378%,-1.294%,-0.302%,0.444%,0.343%,-0.204%,4.321%,-4.154%,1.852%,-1.528%,0.073%,0.0%,0.21%,-0.21%,0.182%,-0.074%,2.42%,-2.117%,2.8%,-2.8%
0.35,0.3,0.4,30.1268,0.871%,-0.871%,0.335%,-0.213%,0.431%,-0.343%,0.101%,-0.101%,0.33%,-0.226%,-0.022%,0.058%,0.005%,-0.005%,-0.062%,0.217%,0.511%,0.0%,0.075%,0.0%,0.106%,0.0%,-0.452%,0.452%,-0.041%,0.115%,0.077%,-0.022%,0.052%,0.0%,-0.623%,0.628%,0.281%,-0.193%,0.028%,0.0%,-0.069%,0.069%,0.541%,-0.453%,0.494%,-0.494%,0.209%,-0.209%,-0.008%,0.008%,1.004%,-0.917%,0.092%,-0.092%,-0.002%,0.093%,1.874%,-1.822%,0.236%,-0.133%,0.066%,0.0%,-0.623%,0.663%,1.269%,-1.181%,0.526%,-0.477%,0.077%,0.0%,0.044%,0.0%,0.043%,-0.022%,0.264%,-0.182%,0.442%,-0.442%,0.943%,-0.914%,0.045%,-0.045%,0.022%,-0.022%,-4.112%,3.226%,0.556%,-0.556%,-20.104%,20.104%,-1.12%,1.188%,0.299%,-0.299%,0.051%,-0.051%,-0.038%,0.104%,1.378%,-1.29%,-0.362%,0.426%,0.378%,-0.304%,4.308%,-4.137%,1.735%,-1.617%,0.058%,0.0%,0.213%,-0.213%,0.181%,-0.108%,2.318%,-2.195%,2.8%,-2.8%
0.45,0.4,0.5,28.2998,0.901%,-0.901%,0.329%,-0.214%,0.462%,-0.379%,0.128%,-0.128%,0.377%,-0.283%,0.052%,0.0%,-0.022%,0.022%,-0.068%,0.182%,-0.011%,0.492%,0.059%,0.0%,0.062%,-0.021%,0.129%,-0.129%,-0.018%,0.135%,0.071%,-0.048%,0.04%,0.0%,-0.589%,0.625%,0.28%,-0.197%,0.06%,0.0%,-0.279%,0.279%,0.549%,-0.465%,0.468%,-0.468%,0.224%,-0.224%,-0.013%,0.013%,0.99%,-0.908%,0.09%,-0.09%,0.044%,0.0%,1.873%,-1.871%,0.214%,-0.121%,0.072%,0.0%,-0.685%,0.676%,1.274%,-1.191%,0.528%,-0.459%,0.061%,0.0%,0.042%,0.0%,0.106%,0.0%,0.213%,-0.105%,0.315%,-0.315%,0.86%,-0.885%,0.044%,-0.044%,0.042%,-0.042%,-3.915%,4.408%,0.533%,-0.533%,-19.033%,19.033%,-1.164%,1.138%,0.214%,-0.214%,0.015%,-0.015%,-0.006%,0.116%,1.372%,-1.289%,-0.322%,0.413%,0.344%,-0.224%,4.315%,-4.149%,1.575%,-1.682%,0.065%,0.0%,0.222%,-0.222%,0.186%,-0.078%,2.126%,-2.275%,2.8%,-2.8%
0.55,0.5,0.6,25.5253,0.953%,-0.953%,0.334%,-0.217%,0.456%,-0.371%,0.172%,-0.172%,0.383%,-0.318%,0.084%,0.0%,-0.035%,0.035%,-0.088%,0.195%,0.431%,0.0%,0.074%,0.0%,0.056%,-0.008%,-0.36%,0.36%,-0.017%,0.119%,0.104%,-0.095%,0.04%,0.0%,-0.551%,0.714%,0.282%,-0.197%,0.033%,0.0%,-0.603%,0.603%,0.558%,-0.471%,0.333%,-0.333%,0.241%,-0.241%,-0.014%,0.014%,0.994%,-0.91%,0.088%,-0.088%,-0.002%,0.068%,1.993%,-1.862%,0.218%,-0.116%,0.079%,0.0%,-0.686%,0.627%,1.287%,-1.202%,0.57%,-0.495%,0.051%,0.0%,0.043%,0.0%,-0.079%,0.015%,0.184%,-0.089%,0.255%,-0.255%,0.961%,-0.838%,0.046%,-0.046%,0.036%,-0.036%,-5.079%,4.275%,0.538%,-0.538%,-19.203%,19.203%,-1.117%,1.208%,0.269%,-0.269%,0.008%,-0.008%,-0.008%,0.121%,1.368%,-1.283%,-0.312%,0.426%,0.331%,-0.227%,4.323%,-4.154%,1.785%,-1.665%,0.061%,0.0%,0.233%,-0.233%,0.195%,-0.079%,2.471%,-2.269%,2.8%,-2.8%
0.6499999999999999,0.6,0.7,22.647,1.019%,-1.019%,0.317%,-0.203%,0.431%,-0.349%,0.172%,-0.172%,0.463%,-0.403%,0.07%,0.0%,-0.036%,0.036%,-0.151%,0.229%,-0.039%,0.498%,0.065%,0.0%,0.045%,0.0%,-0.692%,0.692%,-0.021%,0.095%,0.134%,-0.076%,0.044%,0.0%,-0.6%,0.772%,0.283%,-0.2%,0.042%,0.0%,-0.634%,0.634%,0.559%,-0.475%,0.401%,-0.401%,0.286%,-0.286%,-0.009%,0.009%,0.973%,-0.892%,0.079%,-0.079%,0.078%,0.0%,1.943%,-1.869%,0.213%,-0.115%,0.07%,-0.002%,-0.644%,0.608%,1.302%,-1.219%,0.604%,-0.541%,0.046%,0.0%,0.041%,0.0%,0.0%,-0.043%,0.245%,-0.176%,0.248%,-0.248%,0.965%,-0.818%,0.037%,-0.037%,0.008%,-0.008%,-4.826%,2.927%,0.53%,-0.53%,-20.036%,20.036%,-1.196%,1.205%,0.262%,-0.262%,0.03%,-0.03%,-0.017%,0.096%,1.356%,-1.274%,-0.3%,0.4%,0.303%,-0.291%,4.323%,-4.156%,1.806%,-1.729%,0.061%,-0.003%,0.244%,-0.244%,0.155%,-0.096%,2.424%,-2.334%,2.8%,-2.8%
0.75,0.7,0.8,19.9573,1.09%,-1.09%,0.318%,-0.206%,0.454%,-0.371%,0.297%,-0.297%,0.507%,-0.373%,0.077%,0.0%,0.023%,-0.023%,-0.096%,0.217%,0.292%,0.0%,0.068%,0.0%,0.126%,0.0%,0.678%,-0.678%,-0.04%,0.126%,0.124%,-0.115%,0.048%,0.0%,-0.577%,0.687%,0.286%,-0.204%,0.076%,0.0%,-0.502%,0.502%,0.552%,-0.47%,0.344%,-0.344%,0.245%,-0.245%,0.022%,-0.022%,0.962%,-0.881%,0.073%,-0.073%,0.141%,0.0%,1.952%,-1.814%,0.239%,-0.169%,0.072%,0.0%,-0.669%,0.649%,1.319%,-1.237%,0.608%,-0.39%,0.06%,0.0%,0.041%,0.0%,0.256%,0.0%,0.23%,-0.133%,0.299%,-0.299%,0.97%,-0.803%,0.051%,-0.051%,0.046%,-0.046%,-4.73%,4.456%,0.514%,-0.514%,-19.608%,19.608%,-1.059%,1.279%,0.311%,-0.311%,0.128%,-0.128%,-0.041%,0.123%,1.347%,-1.265%,-0.345%,0.43%,0.35%,-0.236%,4.305%,-4.14%,1.808%,-1.564%,0.075%,0.0%,0.261%,-0.261%,0.178%,-0.105%,2.237%,-2.196%,2.8%,-2.8%
0.8500000000000001,0.8,0.9,17.0575,1.158%,-1.158%,0.307%,-0.196%,0.401%,-0.319%,0.466%,-0.466%,0.622%,-0.618%,-0.003%,0.057%,0.036%,-0.036%,-0.189%,0.246%,0.387%,0.0%,0.086%,0.0%,0.059%,-0.031%,-0.205%,0.205%,-0.026%,0.114%,0.145%,-0.088%,0.04%,0.0%,-0.518%,0.568%,0.291%,-0.209%,0.055%,0.0%,-0.575%,0.575%,0.565%,-0.481%,0.321%,-0.321%,0.238%,-0.238%,-0.032%,0.032%,0.948%,-0.867%,0.076%,-0.076%,-0.033%,0.068%,1.878%,-1.879%,0.173%,-0.127%,0.066%,0.0%,-0.684%,0.632%,1.343%,-1.26%,0.523%,-0.514%,0.065%,0.0%,0.041%,0.0%,-0.002%,0.07%,0.226%,-0.172%,0.462%,-0.462%,0.815%,-0.888%,0.013%,-0.013%,0.054%,-0.054%,-4.205%,4.013%,0.56%,-0.56%,-18.391%,18.391%,-1.179%,1.153%,0.201%,-0.201%,-0.003%,0.003%,-0.017%,0.078%,1.342%,-1.259%,-0.345%,0.374%,0.325%,-0.238%,4.319%,-4.152%,1.729%,-1.648%,0.049%,0.0%,0.282%,-0.282%,0.139%,-0.069%,2.317%,-2.269%,2.8%,-2.8%
0.95,0.9,1.0,13.6435,1.326%,-1.326%,0.303%,-0.191%,0.442%,-0.358%,0.462%,-0.462%,0.799%,-0.631%,-0.021%,0.094%,0.048%,-0.048%,-0.238%,0.33%,0.364%,0.0%,0.088%,0.0%,-0.089%,0.08%,0.454%,-0.454%,-0.043%,0.122%,0.133%,-0.245%,0.054%,0.0%,-0.52%,0.686%,0.297%,-0.213%,0.083%,0.0%,-0.578%,0.578%,0.572%,-0.486%,0.316%,-0.316%,0.308%,-0.308%,-0.034%,0.034%,0.977%,-0.894%,0.079%,-0.079%,0.027%,-0.013%,2.074%,-1.835%,0.243%,-0.15%,0.095%,-0.006%,-0.675%,0.643%,1.367%,-1.283%,0.513%,-0.538%,0.071%,0.0%,0.042%,0.0%,0.0%,-0.087%,0.234%,-0.164%,0.311%,-0.311%,1.035%,-0.865%,0.067%,-0.067%,0.016%,-0.016%,-5.486%,2.912%,0.575%,-0.575%,-19.229%,19.229%,-1.17%,1.277%,0.152%,-0.152%,0.028%,-0.028%,-0.06%,0.127%,1.336%,-1.251%,-0.321%,0.457%,0.387%,-0.278%,4.313%,-4.145%,1.835%,-1.686%,0.071%,0.0%,0.312%,-0.312%,0.186%,-0.082%,2.457%,-2.343%,2.8%,-2.8%
