#: table_doi: 10.17182/hepdata.84154.v2/t4
#: name: Table 4
#: description: Fiducial phase-space relative differential cross-sections after combining the e+jets and $\mu$+jets channels for the $t\bar{t}$ system transverse momentum $p_{T}^{t\bar{t}}$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_4.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DPT_TTBAR
#: keyword phrases: Inclusive | Top | Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
PT_TTBAR [GeV],PT_TTBAR [GeV] LOW,PT_TTBAR [GeV] HIGH,1/SIG*DSIG/DPT_TTBAR,stat +,stat -,sys +,sys -
17.5,0.0,35.0,0.0130772,0.33%,-0.33%,4.581%,-4.772%
55.0,35.0,75.0,0.00737825,0.436%,-0.436%,4.05%,-3.826%
100.0,75.0,125.0,0.00268711,0.776%,-0.776%,6.074%,-6.139%
147.5,125.0,170.0,0.00118853,1.258%,-1.258%,4.679%,-4.505%
197.5,170.0,225.0,0.000558626,1.801%,-1.801%,5.58%,-5.3%
512.5,225.0,800.0,4.97451e-05,1.749%,-1.749%,3.738%,-3.566%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
PT_TTBAR [GeV],PT_TTBAR [GeV] LOW,PT_TTBAR [GeV] HIGH,DSIG/DPT_TTBAR (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -"
17.5,0.0,35.0,0.0130772,0.33%,-0.33%,0.013%,-0.01%,0.045%,-0.046%,0.009%,-0.009%,-0.507%,0.532%,0.078%,-0.075%,0.027%,-0.027%,0.173%,-0.148%,0.0%,-0.045%,0.0%,-0.008%,-1.424%,1.366%,-2.72%,2.72%,0.026%,-0.023%,0.0%,-0.007%,-0.002%,0.001%,0.114%,-0.13%,-0.004%,0.003%,0.007%,0.0%,-0.471%,0.471%,-0.12%,0.12%,0.003%,-0.003%,-0.006%,0.006%,0.037%,-0.037%,-0.032%,0.032%,0.015%,-0.015%,0.0%,-0.003%,-1.355%,1.359%,-0.068%,0.081%,-0.021%,0.018%,-0.049%,0.039%,0.004%,-0.005%,-0.037%,0.04%,0.0%,-0.002%,0.0%,-0.001%,0.0%,-0.318%,-0.137%,0.154%,-0.039%,0.039%,-0.369%,0.388%,0.002%,-0.002%,0.014%,-0.014%,1.562%,-2.039%,0.031%,-0.031%,-1.876%,1.876%,0.982%,-0.965%,-0.007%,0.007%,-0.002%,0.002%,0.033%,-0.031%,-0.008%,0.008%,0.173%,-0.156%,-0.184%,0.203%,0.06%,-0.061%,-0.817%,0.849%,-0.021%,0.017%,0.082%,-0.082%,0.013%,-0.007%,-1.165%,1.179%
55.0,35.0,75.0,0.00737825,0.436%,-0.436%,-0.001%,0.003%,-0.046%,0.05%,0.008%,-0.008%,0.057%,-0.091%,0.04%,-0.056%,-0.015%,0.015%,-0.096%,0.052%,-0.005%,0.057%,0.004%,-0.002%,1.427%,-1.394%,2.602%,-2.602%,-0.033%,0.03%,0.001%,-0.002%,0.0%,0.005%,-0.012%,0.008%,0.003%,0.0%,-0.026%,0.0%,-0.41%,0.41%,0.052%,-0.049%,0.025%,-0.025%,-0.028%,0.028%,-0.02%,0.02%,0.034%,-0.031%,-0.003%,0.003%,-0.001%,0.003%,0.293%,-0.304%,0.029%,-0.05%,-0.008%,0.007%,0.07%,-0.04%,0.004%,0.0%,0.029%,-0.02%,0.004%,0.0%,0.002%,0.0%,0.32%,0.0%,-0.119%,0.088%,0.033%,-0.033%,0.169%,-0.202%,-0.001%,0.001%,-0.069%,0.069%,-2.219%,2.557%,-0.016%,0.016%,0.674%,-0.674%,-0.127%,0.135%,0.026%,-0.026%,0.004%,-0.004%,-0.037%,0.035%,0.002%,0.0%,-0.083%,0.058%,-0.063%,0.023%,0.012%,-0.007%,0.237%,-0.273%,-0.021%,0.017%,0.103%,-0.103%,0.064%,-0.08%,0.301%,-0.285%
100.0,75.0,125.0,0.00268711,0.776%,-0.776%,-0.023%,0.019%,-0.099%,0.098%,-0.027%,0.027%,0.908%,-0.948%,-0.177%,0.203%,-0.057%,0.057%,-0.272%,0.28%,0.055%,0.0%,0.0%,-0.019%,1.318%,-1.225%,2.613%,-2.613%,-0.04%,0.041%,0.008%,0.0%,-0.006%,0.003%,-0.235%,0.186%,0.004%,-0.005%,-0.028%,0.023%,1.431%,-1.431%,0.219%,-0.222%,-0.007%,0.007%,0.01%,-0.01%,-0.074%,0.074%,0.061%,-0.064%,-0.021%,0.021%,0.007%,0.0%,2.417%,-2.49%,0.165%,-0.155%,0.031%,-0.01%,-0.01%,0.001%,-0.005%,0.004%,0.052%,-0.071%,0.003%,0.0%,0.0%,-0.001%,0.333%,0.0%,0.084%,-0.1%,0.071%,-0.071%,0.724%,-0.7%,-0.001%,0.001%,0.079%,-0.079%,0.558%,0.0%,-0.047%,0.047%,2.91%,-2.91%,-1.785%,1.649%,0.01%,-0.01%,0.003%,-0.003%,-0.089%,0.098%,0.009%,-0.011%,-0.307%,0.309%,0.276%,-0.264%,-0.138%,0.14%,1.496%,-1.541%,0.022%,0.0%,0.191%,-0.191%,-0.038%,0.076%,2.18%,-2.283%
147.5,125.0,170.0,0.00118853,1.258%,-1.258%,-0.024%,0.017%,-0.01%,0.006%,-0.094%,0.094%,1.009%,-0.952%,-0.335%,0.3%,-0.03%,0.03%,-0.177%,0.218%,-0.042%,0.095%,0.084%,0.0%,0.301%,-0.25%,-0.042%,0.042%,0.012%,-0.026%,0.009%,0.0%,0.0%,-0.021%,-0.208%,0.327%,0.006%,-0.011%,0.141%,-0.071%,1.754%,-1.754%,0.17%,-0.172%,0.009%,-0.009%,0.091%,-0.091%,-0.028%,0.028%,0.023%,-0.03%,-0.029%,0.029%,0.01%,0.0%,2.281%,-2.217%,0.091%,-0.068%,0.056%,-0.057%,-0.104%,0.034%,-0.01%,0.005%,0.056%,-0.034%,0.0%,-0.012%,0.0%,-0.002%,0.157%,0.0%,0.475%,-0.438%,0.042%,-0.042%,0.344%,-0.402%,-0.006%,0.006%,0.08%,-0.08%,0.0%,-0.581%,-0.05%,0.05%,1.694%,-1.694%,-1.75%,1.869%,-0.077%,0.077%,-0.03%,0.03%,-0.019%,0.013%,0.012%,-0.017%,-0.235%,0.203%,0.495%,-0.465%,-0.227%,0.225%,1.313%,-1.134%,0.107%,-0.071%,0.318%,-0.318%,-0.279%,0.185%,1.816%,-1.653%
197.5,170.0,225.0,0.000558626,1.801%,-1.801%,-0.019%,0.003%,0.136%,-0.153%,0.053%,-0.053%,0.758%,-0.813%,-0.183%,0.177%,-0.008%,0.008%,-0.183%,0.042%,0.174%,-0.193%,0.098%,0.0%,0.288%,-0.277%,3.053%,-3.053%,0.032%,-0.051%,-0.008%,0.013%,0.038%,0.0%,-0.228%,0.462%,0.004%,-0.02%,-0.04%,0.012%,1.36%,-1.36%,0.039%,-0.056%,-0.15%,0.15%,0.055%,-0.055%,0.025%,-0.025%,-0.076%,0.058%,-0.03%,0.03%,0.0%,-0.013%,1.88%,-1.605%,0.0%,-0.062%,0.023%,-0.102%,0.005%,-0.057%,-0.016%,0.001%,0.035%,-0.084%,0.0%,-0.015%,0.0%,-0.008%,-0.077%,0.188%,0.75%,-0.777%,-0.055%,0.055%,0.121%,-0.199%,-0.011%,0.011%,-0.043%,0.043%,-0.67%,1.735%,-0.016%,0.016%,2.629%,-2.629%,-1.533%,1.587%,-0.056%,0.056%,0.016%,-0.016%,0.0%,-0.073%,0.016%,-0.032%,-0.13%,0.095%,0.472%,-0.636%,-0.183%,0.164%,0.824%,-0.954%,0.082%,-0.236%,0.445%,-0.445%,-0.175%,0.154%,1.181%,-1.239%
512.5,225.0,800.0,4.97451e-05,1.749%,-1.749%,-0.013%,0.013%,0.133%,-0.126%,0.009%,-0.009%,0.492%,-0.387%,-0.031%,0.101%,0.071%,-0.071%,0.081%,0.0%,0.057%,-0.131%,0.017%,-0.017%,0.218%,-0.195%,-0.119%,0.119%,0.077%,-0.058%,-0.026%,0.065%,0.061%,-0.063%,0.049%,0.0%,0.027%,-0.019%,0.088%,0.0%,0.466%,-0.466%,-0.037%,0.042%,-0.135%,0.135%,0.125%,-0.125%,-0.003%,0.003%,-0.105%,0.112%,-0.027%,0.027%,0.004%,-0.007%,0.784%,-0.782%,-0.122%,0.169%,0.138%,-0.092%,0.253%,-0.196%,-0.01%,0.018%,-0.11%,0.07%,0.013%,0.0%,0.004%,0.0%,0.084%,0.0%,1.37%,-1.278%,-0.078%,0.078%,-0.144%,0.258%,0.005%,-0.005%,0.044%,-0.044%,0.726%,0.0%,0.012%,-0.012%,2.831%,-2.831%,-0.958%,0.975%,-0.015%,0.015%,0.012%,-0.012%,0.35%,-0.289%,0.035%,-0.028%,0.149%,-0.079%,0.858%,-0.681%,0.173%,-0.188%,0.096%,-0.184%,0.256%,-0.185%,0.404%,-0.404%,-0.023%,0.11%,0.386%,-0.51%

