#: table_doi: 10.17182/hepdata.84154.v2/t58
#: name: Table 58
#: description: Relative systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the hadronic top-quark transverse momentum $p_{T}^{t}$.

#: data_file: Table_58.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
p_{T}^{t} bin,p_{T}^{t} bin,
1,1,1.0
2,1,0.711008467868
3,1,0.761880994454
4,1,0.00211711598156
5,1,-0.0149401603033
6,1,-0.608179904046
7,1,-0.864334603129
8,1,-0.554763988027
9,1,-0.457233647289
10,1,-0.679410908216
11,1,-0.713782169577
12,1,0.102079437902
13,1,-0.316921749298
14,1,-0.586289749777
15,1,0.251274162611
1,2,0.711008467868
2,2,1.0
3,2,0.885582760746
4,2,0.489195010076
5,2,-0.544599938975
6,2,-0.886532565768
7,2,-0.863206173493
8,2,-0.779802236095
9,2,-0.292063782376
10,2,-0.392477026454
11,2,-0.598312007704
12,2,-0.172021478464
13,2,-0.195731531634
14,2,-0.439763919759
15,2,0.0809344551137
1,3,0.761880994454
2,3,0.885582760746
3,3,1.0
4,3,0.222459994661
5,3,-0.350895559776
6,3,-0.798583363315
7,3,-0.911190477388
8,3,-0.722769742917
9,3,-0.360408330059
10,3,-0.559430944421
11,3,-0.779645309279
12,3,-0.173088280672
13,3,-0.30572095157
14,3,-0.606014816712
15,3,0.188692261166
1,4,0.00211711598156
2,4,0.489195010076
3,4,0.222459994661
4,4,1.0
5,4,-0.256904238032
6,4,-0.469933502938
7,4,-0.155747649011
8,4,-0.691841860406
9,4,-0.364373470361
10,4,-0.196290372544
11,4,-0.165833589445
12,4,-0.66169295285
13,4,-0.258530142902
14,4,-0.266955147696
15,4,-0.523531912368
1,5,-0.0149401603033
2,5,-0.544599938975
3,5,-0.350895559776
4,5,-0.256904238032
5,5,1.0
6,5,0.526650342066
7,5,0.32021429022
8,5,0.135694520383
9,5,-0.537426790846
10,5,-0.511406238751
11,5,-0.235932228928
12,5,-0.207451888143
13,5,-0.576854836423
14,5,-0.365669354543
15,5,-0.176803447701
1,6,-0.608179904046
2,6,-0.886532565768
3,6,-0.798583363315
4,6,-0.469933502938
5,6,0.526650342066
6,6,1.0
7,6,0.68410517979
8,6,0.708969705714
9,6,0.283800984855
10,6,0.304704181586
11,6,0.472707059832
12,6,0.0963607190536
13,6,0.0179059808234
14,6,0.271415765961
15,6,-0.314924913075
1,7,-0.864334603129
2,7,-0.863206173493
3,7,-0.911190477388
4,7,-0.155747649011
5,7,0.32021429022
6,7,0.68410517979
7,7,1.0
8,7,0.599054595902
9,7,0.258293945939
10,7,0.514168630674
11,7,0.729979215312
12,7,-0.041373501577
13,7,0.25584270217
14,7,0.600059123071
15,7,-0.147183170991
1,8,-0.554763988027
2,8,-0.779802236095
3,8,-0.722769742917
4,8,-0.691841860406
5,8,0.135694520383
6,8,0.708969705714
7,8,0.599054595902
8,8,1.0
9,8,0.688160497769
10,8,0.654203386385
11,8,0.656673120798
12,8,0.603226239988
13,8,0.468682978053
14,8,0.58510706981
15,8,0.195425898745
1,9,-0.457233647289
2,9,-0.292063782376
3,9,-0.360408330059
4,9,-0.364373470361
5,9,-0.537426790846
6,9,0.283800984855
7,9,0.258293945939
8,9,0.688160497769
9,9,1.0
10,9,0.842618053609
11,9,0.670821668037
12,9,0.550264007998
13,9,0.724494999614
14,9,0.696877542278
15,9,0.14876452463
1,10,-0.679410908216
2,10,-0.392477026454
3,10,-0.559430944421
4,10,-0.196290372544
5,10,-0.511406238751
6,10,0.304704181586
7,10,0.514168630674
8,10,0.654203386385
9,10,0.842618053609
10,10,1.0
11,10,0.852916177652
12,10,0.493492103142
13,10,0.815542934299
14,10,0.885609297914
15,10,0.177896289549
1,11,-0.713782169577
2,11,-0.598312007704
3,11,-0.779645309279
4,11,-0.165833589445
5,11,-0.235932228928
6,11,0.472707059832
7,11,0.729979215312
8,11,0.656673120798
9,11,0.670821668037
10,11,0.852916177652
11,11,1.0
12,11,0.364747436267
13,11,0.758159060096
14,11,0.831354440092
15,11,-0.0245595801982
1,12,0.102079437902
2,12,-0.172021478464
3,12,-0.173088280672
4,12,-0.66169295285
5,12,-0.207451888143
6,12,0.0963607190536
7,12,-0.041373501577
8,12,0.603226239988
9,12,0.550264007998
10,12,0.493492103142
11,12,0.364747436267
12,12,1.0
13,12,0.665396518596
14,12,0.507718107102
15,12,0.682545282112
1,13,-0.316921749298
2,13,-0.195731531634
3,13,-0.30572095157
4,13,-0.258530142902
