#: table_doi: 10.17182/hepdata.84154.v2/t77
#: name: Table 77
#: description: Absolute systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the longitudinal boost $y_{boost}^{t\bar{t}}$.

#: data_file: Table_77.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
y_{boost}^{t\bar{t}} bin,y_{boost}^{t\bar{t}} bin,
1,1,1.0
2,1,0.99781860994
3,1,0.998007188647
4,1,0.999042041166
5,1,0.998908808004
6,1,0.997982266775
7,1,0.999174660057
8,1,0.997749473808
9,1,0.998156107787
10,1,0.997871164233
11,1,0.99492945295
12,1,0.992074968178
13,1,0.993074878809
14,1,0.991542406576
15,1,0.979893122845
16,1,0.979007471196
1,2,0.99781860994
2,2,1.0
3,2,0.997740297879
4,2,0.996084688869
5,2,0.99846586183
6,2,0.996607534787
7,2,0.995576510911
8,2,0.999043708948
9,2,0.996633037498
10,2,0.997911430817
11,2,0.993268222387
12,2,0.991383758879
13,2,0.991260999857
14,2,0.989088561889
15,2,0.9832154818
16,2,0.975754384707
1,3,0.998007188647
2,3,0.997740297879
3,3,1.0
4,3,0.998487119916
5,3,0.998970660121
6,3,0.999120206102
7,3,0.997685725661
8,3,0.998779515981
9,3,0.998339811338
10,3,0.997804951912
11,3,0.997059821704
12,3,0.992503203927
13,3,0.99317660685
14,3,0.991992088813
15,3,0.981847356574
16,3,0.981937638974
1,4,0.999042041166
2,4,0.996084688869
3,4,0.998487119916
4,4,1.0
5,4,0.998371305336
6,4,0.997825298793
7,4,0.998923731252
8,4,0.99692880128
9,4,0.997912330916
10,4,0.996813692952
11,4,0.994940051869
12,4,0.989933447381
13,4,0.991953905722
14,4,0.990780923356
15,4,0.976098939395
16,4,0.979025274191
1,5,0.998908808004
2,5,0.99846586183
3,5,0.998970660121
4,5,0.998371305336
5,5,1.0
6,5,0.998772497824
7,5,0.998112655005
8,5,0.99904758932
9,5,0.99884193599
10,5,0.997761396196
11,5,0.996783579509
12,5,0.992195421449
13,5,0.993876626324
14,5,0.992512206063
15,5,0.98264268682
16,5,0.981609558784
1,6,0.997982266775
2,6,0.996607534787
3,6,0.999120206102
4,6,0.997825298793
5,6,0.998772497824
6,6,1.0
7,6,0.998405948555
8,6,0.998433104101
9,6,0.999264523517
10,6,0.998014552356
11,6,0.998396406983
12,6,0.995181682769
13,6,0.996044059353
14,6,0.994981008272
15,6,0.985018919973
16,6,0.986274493592
1,7,0.999174660057
2,7,0.995576510911
3,7,0.997685725661
4,7,0.998923731252
5,7,0.998112655005
6,7,0.998405948555
7,7,1.0
8,7,0.996667984286
9,7,0.99826546469
10,7,0.997456913914
11,7,0.996605957148
12,7,0.993141091231
13,7,0.994402989415
14,7,0.993584574384
15,7,0.980208761374
16,7,0.983153970469
1,8,0.997749473808
2,8,0.999043708948
3,8,0.998779515981
4,8,0.99692880128
5,8,0.99904758932
6,8,0.998433104101
7,8,0.996667984286
8,8,1.0
9,8,0.998463594089
10,8,0.998761675618
11,8,0.99612087181
12,8,0.993958583662
13,8,0.994861896423
14,8,0.992908119137
15,8,0.986463458459
16,8,0.982425387698
1,9,0.998156107787
2,9,0.996633037498
3,9,0.998339811338
4,9,0.997912330916
5,9,0.99884193599
6,9,0.999264523517
7,9,0.99826546469
8,9,0.998463594089
9,9,1.0
10,9,0.998627905564
11,9,0.997867581926
12,9,0.995762135622
13,9,0.997253763201
14,9,0.995963272265
15,9,0.986524249269
16,9,0.987394093164
1,10,0.997871164233
2,10,0.997911430817
3,10,0.997804951912
4,10,0.996813692952
5,10,0.997761396196
6,10,0.998014552356
7,10,0.997456913914
8,10,0.998761675618
9,10,0.998627905564
10,10,1.0
11,10,0.996100634265
12,10,0.99653600034
13,10,0.996336108955
14,10,0.994937480976
15,10,0.988302646043
16,10,0.984390277752
1,11,0.99492945295
2,11,0.993268222387
3,11,0.997059821704
4,11,0.994940051869
5,11,0.996783579509
6,11,0.998396406983
7,11,0.996605957148
8,11,0.99612087181
9,11,0.997867581926
10,11,0.996100634265
11,11,1.0
12,11,0.995449753011
13,11,0.996585679368
14,11,0.996870968848
15,11,0.987945370433
16,11,0.991344567773
1,12,0.992074968178
2,12,0.991383758879
3,12,0.992503203927
4,12,0.989933447381
5,12,0.992195421449
6,12,0.995181682769
7,12,0.993141091231
8,12,0.993958583662
9,12,0.995762135622
10,12,0.99653600034
11,12,0.995449753011
12,12,1.0
13,12,0.998319222723
14,12,0.997534592529
15,12,0.994217599977
16,12,0.992155943521
1,13,0.993074878809
2,13,0.991260999857
3,13,0.99317660685
4,13,0.991953905722
5,13,0.993876626324
6,13,0.996044059353
7,13,0.994402989415
8,13,0.994861896423
9,13,0.997253763201
10,13,0.996336108955
11,13,0.996585679368
12,13,0.998319222723
13,13,1.0
14,13,0.998562928129
15,13,0.992906199564
16,13,0.994247221617
1,14,0.991542406576
2,14,0.989088561889
3,14,0.991992088813
4,14,0.990780923356
5,14,0.992512206063
6,14,0.994981008272
7,14,0.993584574384
8,14,0.992908119137
9,14,0.995963272265
10,14,0.994937480976
11,14,0.996870968848
12,14,0.997534592529
13,14,0.998562928129
14,14,1.0
15,14,0.992286300253
16,14,0.994823824536
1,15,0.979893122845
2,15,0.9832154818
3,15,0.981847356574
4,15,0.976098939395
5,15,0.98264268682
6,15,0.985018919973
7,15,0.980208761374
8,15,0.986463458459
9,15,0.986524249269
10,15,0.988302646043
11,15,0.987945370433
