#: table_doi: 10.17182/hepdata.84154.v2/t103
#: name: Table 103
#: description: Absolute statistics-only correlation matrix of the full phase-space differential cross-section as a function of the the hadronic top-quark absolute rapidity $|y^{t}|$.

#: data_file: Table_103.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
|y^{t}| bin,|y^{t}| bin,
1,1,1.0
2,1,-0.036135302438
3,1,-0.223353944845
4,1,-0.108107450976
5,1,-0.0722502533936
1,2,-0.036135302438
2,2,1.0
3,2,0.0261618199605
4,2,-0.130358092243
5,2,-0.081524859609
1,3,-0.223353944845
2,3,0.0261618199605
3,3,1.0
4,3,0.0303541484305
5,3,-0.108851190708
1,4,-0.108107450976
2,4,-0.130358092243
3,4,0.0303541484305
4,4,1.0
5,4,0.0250284005669
1,5,-0.0722502533936
2,5,-0.081524859609
3,5,-0.108851190708
4,5,0.0250284005669
5,5,1.0

