#: table_doi: 10.17182/hepdata.84154.v2/t78
#: name: Table 78
#: description: Relative systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the longitudinal boost $y_{boost}^{t\bar{t}}$.

#: data_file: Table_78.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
y_{boost}^{t\bar{t}} bin,y_{boost}^{t\bar{t}} bin,
1,1,1.0
2,1,0.285995011657
3,1,-0.118170485898
4,1,0.294674842739
5,1,0.405776712653
6,1,-0.424131347882
7,1,0.196752179931
8,1,-0.152202196881
9,1,-0.0257874706788
10,1,-0.177756282252
11,1,-0.532961404527
12,1,-0.171937561383
13,1,-0.290835595385
14,1,-0.423955084847
15,1,-0.300357463432
16,1,-0.448004417272
1,2,0.285995011657
2,2,1.0
3,2,0.0938039164922
4,2,-0.122236640174
5,2,0.444904477728
6,2,-0.497274881332
7,2,-0.288753403192
8,2,0.40735227393
9,2,-0.125424233169
10,2,0.224129188913
11,2,-0.4934890975
12,2,-0.111334390155
13,2,-0.314043757418
14,2,-0.508157945728
15,2,-0.0192303495951
16,2,-0.465931392608
1,3,-0.118170485898
2,3,0.0938039164922
3,3,1.0
4,3,0.75780429733
5,3,-0.15772860049
6,3,0.144480782604
7,3,0.613162507509
8,3,0.749343523926
9,3,-0.861714645649
10,3,0.291200613665
11,3,0.536604112319
12,3,-0.868231725247
13,3,-0.874016252216
14,3,-0.698536792431
15,3,-0.83131172673
16,3,-0.740489615
1,4,0.294674842739
2,4,-0.122236640174
3,4,0.75780429733
4,4,1.0
5,4,-0.147529643464
6,4,-0.112786238518
7,4,0.858390908831
8,4,0.504213107928
9,4,-0.780145166249
10,4,0.210123900009
11,4,0.337533509914
12,4,-0.885034101299
13,4,-0.830135205068
14,4,-0.675460131758
15,4,-0.949570981915
16,4,-0.75678834485
1,5,0.405776712653
2,5,0.444904477728
3,5,-0.15772860049
4,5,-0.147529643464
5,5,1.0
6,5,-0.20694787706
7,5,-0.379769829032
8,5,-0.0761119536999
9,5,0.277122564933
