#: table_doi: 10.17182/hepdata.84154.v2/t90
#: name: Table 90
#: description: Relative systematics-only correlation matrix of the full phase-space differential cross-section as a function of the the $t\bar{t}$ system invariant mass $m^{t\bar{t}}$.

#: data_file: Table_90.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
m^{t\bar{t}} bin,m^{t\bar{t}} bin,
1,1,1.0
2,1,-0.394252853757
3,1,-0.862402874237
4,1,-0.643146370139
5,1,0.0534724222029
6,1,0.347683720595
7,1,0.532735270053
1,2,-0.394252853757
2,2,1.0
3,2,0.578483914309
4,2,-0.413288768732
5,2,-0.906481874953
6,2,-0.952343965801
7,2,-0.906145662055
1,3,-0.862402874237
2,3,0.578483914309
3,3,1.0
4,3,0.453227701718
5,3,-0.398300400926
6,3,-0.660766655967
7,3,-0.757401171784
1,4,-0.643146370139
2,4,-0.413288768732
3,4,0.453227701718
4,4,1.0
5,4,0.629039035905
6,4,0.354922187335
7,4,0.12446514749
1,5,0.0534724222029
2,5,-0.906481874953
3,5,-0.398300400926
4,5,0.629039035905
5,5,1.0
6,5,0.941246840271
7,5,0.780096955708
1,6,0.347683720595
2,6,-0.952343965801
3,6,-0.660766655967
4,6,0.354922187335
5,6,0.941246840271
6,6,1.0
7,6,0.935534429535
1,7,0.532735270053
2,7,-0.906145662055
3,7,-0.757401171784
4,7,0.12446514749
5,7,0.780096955708
6,7,0.935534429535
7,7,1.0

