#: table_doi: 10.17182/hepdata.84154.v2/t49
#: name: Table 49
#: description: Absolute systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the $t\bar{t}$ system transverse momentum $p_{T}^{t\bar{t}}$.

#: data_file: Table_49.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
p_{T}^{t\bar{t}} bin,p_{T}^{t\bar{t}} bin,
1,1,1.0
2,1,0.92840618001
3,1,0.888387188438
4,1,0.928191728796
5,1,0.898400809007
6,1,0.95143610231
1,2,0.92840618001
2,2,1.0
3,2,0.97217765853
4,2,0.96489876953
5,2,0.980730028873
6,2,0.976271103254
1,3,0.888387188438
2,3,0.97217765853
3,3,1.0
4,3,0.987566114079
5,3,0.991682293679
6,3,0.971482978167
1,4,0.928191728796
2,4,0.96489876953
3,4,0.987566114079
4,4,1.0
5,4,0.984128628283
6,4,0.988438687928
1,5,0.898400809007
2,5,0.980730028873
3,5,0.991682293679
4,5,0.984128628283
5,5,1.0
6,5,0.981487800389
1,6,0.95143610231
2,6,0.976271103254
3,6,0.971482978167
4,6,0.988438687928
5,6,0.981487800389
6,6,1.0

