#: table_doi: 10.17182/hepdata.84154.v2/t112
#: name: Table 112
#: description: Relative statistics-only correlation matrix of the full phase-space differential cross-section as a function of the the $t\bar{t}$ system azimuthal angle $\Delta \phi^{t\bar{t}}$.

#: data_file: Table_112.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
\Delta \phi^{t\bar{t}} bin,\Delta \phi^{t\bar{t}} bin,
1,1,1.0
2,1,0.29461289322
3,1,-0.600013579191
4,1,-0.635703615804
1,2,0.29461289322
2,2,1.0
3,2,0.0206197580305
4,2,-0.860973615902
1,3,-0.600013579191
2,3,0.0206197580305
3,3,1.0
4,3,-0.00722821708169
1,4,-0.635703615804
2,4,-0.860973615902
3,4,-0.00722821708169
4,4,1.0

