#: table_doi: 10.17182/hepdata.84154.v2/t84
#: name: Table 84
#: description: Relative statistics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the ratio of the hadronic W and the hadronic top transverse momenta $R_{Wt}$.

#: data_file: Table_84.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
R_{Wt} bin,R_{Wt} bin,
1,1,1.0
2,1,-0.106510805339
3,1,-0.180537430322
4,1,0.00924553894352
5,1,-0.0247460516751
6,1,-0.0392845106957
7,1,-0.031055636575
8,1,-0.0173619904406
9,1,-0.0509771619217
10,1,-0.0333063004163
11,1,-0.020646421283
12,1,-0.00133127766568
1,2,-0.106510805339
2,2,1.0
3,2,-0.0476370995646
4,2,-0.204325856571
5,2,-0.054403661408
6,2,-0.0473990988375
7,2,-0.0508042273865
8,2,-0.0623471719586
9,2,-0.0377742317437
10,2,-0.032269809574
11,2,-0.0209271949318
12,2,-0.0113148650048
1,3,-0.180537430322
2,3,-0.0476370995646
3,3,1.0
4,3,0.000197046144871
5,3,-0.224025918609
6,3,-0.0293271144527
7,3,-0.0817085923934
8,3,-0.0701131392679
9,3,-0.035633076691
10,3,-0.0303820535426
11,3,-0.0290969581687
12,3,-0.0287574996288
1,4,0.00924553894352
2,4,-0.204325856571
3,4,0.000197046144871
4,4,1.0
5,4,-0.139567004981
6,4,-0.15380734993
7,4,-0.0585222909205
8,4,-0.0618529838651
9,4,-0.0571454286996
10,4,-0.0547477383305
11,4,-0.0203988761169
12,4,-0.0117787091923
1,5,-0.0247460516751
2,5,-0.054403661408
3,5,-0.224025918609
4,5,-0.139567004981
5,5,1.0
6,5,-0.303633564286
7,5,-0.167605531383
8,5,-0.0996943257473
9,5,-0.0592503747266
10,5,-0.05499642445
11,5,-0.0606732326057
12,5,-0.0230226600529
1,6,-0.0392845106957
2,6,-0.0473990988375
3,6,-0.0293271144527
4,6,-0.15380734993
5,6,-0.303633564286
6,6,1.0
7,6,-0.326034562312
8,6,-0.170116024609
9,6,-0.111699073175
10,6,-0.0560188476448
11,6,-0.0465560335482
12,6,-0.0513787329717
1,7,-0.031055636575
2,7,-0.0508042273865
3,7,-0.0817085923934
4,7,-0.0585222909205
5,7,-0.167605531383
6,7,-0.326034562312
7,7,1.0
8,7,-0.269672597464
9,7,-0.115276762899
10,7,-0.0714982778164
11,7,-0.0821272891158
12,7,-0.0666966718785
1,8,-0.0173619904406
2,8,-0.0623471719586
3,8,-0.0701131392679
4,8,-0.0618529838651
5,8,-0.0996943257473
6,8,-0.170116024609
7,8,-0.269672597464
8,8,1.0
9,8,-0.237791844098
10,8,-0.177751350081
11,8,-0.053331507668
12,8,-0.0189555757478
1,9,-0.0509771619217
2,9,-0.0377742317437
3,9,-0.035633076691
4,9,-0.0571454286996
5,9,-0.0592503747266
6,9,-0.111699073175
7,9,-0.115276762899
8,9,-0.237791844098
9,9,1.0
10,9,-0.0802118243019
11,9,-0.264972827258
12,9,-0.0842894959981
1,10,-0.0333063004163
2,10,-0.032269809574
3,10,-0.0303820535426
4,10,-0.0547477383305
5,10,-0.05499642445
6,10,-0.0560188476448
7,10,-0.0714982778164
8,10,-0.177751350081
9,10,-0.0802118243019
10,10,1.0
11,10,0.169382465971
12,10,-0.279426555927
1,11,-0.020646421283
2,11,-0.0209271949318
3,11,-0.0290969581687
4,11,-0.0203988761169
5,11,-0.0606732326057
6,11,-0.0465560335482
7,11,-0.0821272891158
8,11,-0.053331507668
9,11,-0.264972827258
10,11,0.169382465971
11,11,1.0
12,11,0.285531255018
1,12,-0.00133127766568
2,12,-0.0113148650048
3,12,-0.0287574996288
4,12,-0.0117787091923
5,12,-0.0230226600529
6,12,-0.0513787329717
7,12,-0.0666966718785
8,12,-0.0189555757478
9,12,-0.0842894959981
10,12,-0.279426555927
11,12,0.285531255018
12,12,1.0

