#: table_doi: 10.17182/hepdata.84154.v2/t124
#: name: Table 124
#: description: Relative statistics-only correlation matrix of the full phase-space differential cross-section as a function of the production angle $\chi^{t\bar{t}}$.

#: data_file: Table_124.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
\chi^{t\bar{t}} bin,\chi^{t\bar{t}} bin,
1,1,1.0
2,1,0.599734789387
3,1,-0.11835566475
4,1,-0.457378349354
5,1,-0.53803371539
6,1,-0.496218045189
7,1,-0.392562005235
8,1,-0.297493639374
9,1,-0.227094536235
10,1,-0.149159063343
1,2,0.599734789387
2,2,1.0
3,2,0.393694668189
4,2,-0.255998839098
5,2,-0.534310964176
6,2,-0.590044741724
7,2,-0.516743286575
8,2,-0.422346757467
9,2,-0.323347704908
10,2,-0.206262303285
1,3,-0.11835566475
2,3,0.393694668189
3,3,1.0
4,3,0.493148121657
5,3,-0.0992304682821
6,3,-0.388709047711
7,3,-0.446965116759
8,3,-0.40939308065
9,3,-0.324415658553
10,3,-0.212772173885
1,4,-0.457378349354
2,4,-0.255998839098
3,4,0.493148121657
4,4,1.0
5,4,0.562466320845
6,4,0.00873765639153
7,4,-0.244585945755
8,4,-0.311903971079
9,4,-0.280586098923
10,4,-0.199584012068
1,5,-0.53803371539
2,5,-0.534310964176
3,5,-0.0992304682821
4,5,0.562466320845
5,5,1.0
6,5,0.573083177488
7,5,0.0693845606252
8,5,-0.170257236464
9,5,-0.242176950998
10,5,-0.195316475147
1,6,-0.496218045189
2,6,-0.590044741724
3,6,-0.388709047711
4,6,0.00873765639153
5,6,0.573083177488
6,6,1.0
7,6,0.611308203646
8,6,0.119132614662
9,6,-0.141950642531
10,6,-0.193840423502
1,7,-0.392562005235
2,7,-0.516743286575
3,7,-0.446965116759
4,7,-0.244585945755
5,7,0.0693845606252
6,7,0.611308203646
7,7,1.0
8,7,0.61930239825
9,7,0.0958589946593
10,7,-0.163609039563
1,8,-0.297493639374
2,8,-0.422346757467
3,8,-0.40939308065
4,8,-0.311903971079
5,8,-0.170257236464
6,8,0.119132614662
7,8,0.61930239825
8,8,1.0
9,8,0.629029889515
10,8,0.0210474645223
1,9,-0.227094536235
2,9,-0.323347704908
3,9,-0.324415658553
4,9,-0.280586098923
5,9,-0.242176950998
6,9,-0.141950642531
7,9,0.0958589946593
8,9,0.629029889515
9,9,1.0
10,9,0.478177638888
1,10,-0.149159063343
2,10,-0.206262303285
3,10,-0.212772173885
4,10,-0.199584012068
5,10,-0.195316475147
6,10,-0.193840423502
7,10,-0.163609039563
8,10,0.0210474645223
9,10,0.478177638888
10,10,1.0

