#: table_doi: 10.17182/hepdata.84154.v2/t122
#: name: Table 122
#: description: Relative systematics-only correlation matrix of the full phase-space differential cross-section as a function of the longitudinal boost $y_{boost}^{t\bar{t}}$.

#: data_file: Table_122.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
y_{boost}^{t\bar{t}} bin,y_{boost}^{t\bar{t}} bin,
1,1,1.0
2,1,0.971628692796
3,1,0.911172528227
4,1,0.707824470127
5,1,0.894097908163
6,1,0.720748515661
7,1,0.25868889943
8,1,0.201757323032
9,1,0.356561691656
10,1,-0.51950593375
11,1,-0.891830852644
12,1,-0.811883374269
13,1,-0.832352879267
14,1,-0.741992878765
15,1,-0.61250341078
16,1,-0.818442226393
1,2,0.971628692796
2,2,1.0
3,2,0.919796890486
4,2,0.725046472152
5,2,0.878072039031
6,2,0.721597905889
7,2,0.334697549557
8,2,0.320318220192
9,2,0.391111277803
10,2,-0.516536770547
11,2,-0.874415120166
12,2,-0.764938240839
13,2,-0.786423768127
14,2,-0.723147682151
15,2,-0.594853995144
16,2,-0.878797539722
1,3,0.911172528227
2,3,0.919796890486
3,3,1.0
4,3,0.90054009793
5,3,0.976492023063
6,3,0.904715130996
7,3,0.562879289963
8,3,0.421283314284
9,3,0.472826597816
10,3,-0.292063826521
11,3,-0.732216105357
12,3,-0.897668960326
13,3,-0.909709144264
14,3,-0.887398762966
15,3,-0.80988001114
16,3,-0.921782667884
1,4,0.707824470127
2,4,0.725046472152
3,4,0.90054009793
4,4,1.0
5,4,0.920398671152
6,4,0.954821929936
7,4,0.833871557152
8,4,0.663042056386
9,4,0.672700075894
10,4,0.104882192353
11,4,-0.418677915315
12,4,-0.927891690267
13,4,-0.911620022621
14,4,-0.96184803111
15,4,-0.963252731816
16,4,-0.90746389513
1,5,0.894097908163
2,5,0.878072039031
3,5,0.976492023063
4,5,0.920398671152
5,5,1.0
6,5,0.943486701339
7,5,0.59823774778
8,5,0.422055815435
9,5,0.518677666013
10,5,-0.221441613148
11,5,-0.6913444982
12,5,-0.940837305829
13,5,-0.94984049819
14,5,-0.918198211643
15,5,-0.854877670849
16,5,-0.905767430933
1,6,0.720748515661
2,6,0.721597905889
3,6,0.904715130996
4,6,0.954821929936
5,6,0.943486701339
6,6,1.0
7,6,0.794843925722
8,6,0.552317495613
9,6,0.568937595765
10,6,0.0211544624399
11,6,-0.465791380609
12,6,-0.915578028991
13,6,-0.909523077052
14,6,-0.923867338498
15,6,-0.917966718633
16,6,-0.879665377409
1,7,0.25868889943
2,7,0.334697549557
3,7,0.562879289963
4,7,0.833871557152
5,7,0.59823774778
6,7,0.794843925722
7,7,1.0
8,7,0.830443680305
9,7,0.680660285996
10,7,0.489412662773
11,7,0.0518365734226
12,7,-0.646711302574
13,7,-0.60702923904
