#: table_doi: 10.17182/hepdata.84154.v2/t82
#: name: Table 82
#: description: Relative systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the production angle $\chi^{t\bar{t}}$.

#: data_file: Table_82.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
\chi^{t\bar{t}} bin,\chi^{t\bar{t}} bin,
1,1,1.0
2,1,0.356855363771
3,1,-0.385573731468
4,1,0.320876495177
5,1,-0.62584752778
6,1,-0.253516351306
7,1,-0.496168281322
8,1,-0.238991305428
9,1,0.0566044980018
10,1,-0.293847864277
1,2,0.356855363771
2,2,1.0
3,2,-0.676953652017
4,2,-0.595589789882
5,2,0.198891961144
6,2,0.45901542648
7,2,0.324140416462
8,2,-0.909260684084
9,2,-0.637273388983
10,2,-0.279391094385
1,3,-0.385573731468
2,3,-0.676953652017
3,3,1.0
4,3,0.200807957895
5,3,0.190070337201
6,3,-0.666497513775
7,3,-0.525409415147
8,3,0.583491430822
9,3,0.116121967554
10,3,-0.388337898994
1,4,0.320876495177
2,4,-0.595589789882
3,4,0.200807957895
4,4,1.0
5,4,-0.81150972141
6,4,-0.604902535237
7,4,-0.646497229198
8,4,0.752359801907
9,4,0.818090318765
10,4,0.190107817669
1,5,-0.62584752778
2,5,0.198891961144
3,5,0.190070337201
4,5,-0.81150972141
5,5,1.0
6,5,0.304115820464
7,5,0.485683398009
8,5,-0.378637208589
9,5,-0.76266508776
10,5,-0.238598527245
1,6,-0.253516351306
2,6,0.45901542648
3,6,-0.666497513775
4,6,-0.604902535237
5,6,0.304115820464
6,6,1.0
7,6,0.903565230021
8,6,-0.599678559124
9,6,-0.327398149749
10,6,0.436582117636
1,7,-0.496168281322
2,7,0.324140416462
3,7,-0.525409415147
4,7,-0.646497229198
5,7,0.485683398009
6,7,0.903565230021
7,7,1.0
8,7,-0.465646898796
9,7,-0.318383942263
10,7,0.552157380377
1,8,-0.238991305428
2,8,-0.909260684084
3,8,0.583491430822
4,8,0.752359801907
5,8,-0.378637208589
6,8,-0.599678559124
7,8,-0.465646898796
8,8,1.0
9,8,0.782404485371
10,8,0.274275337896
1,9,0.0566044980018
2,9,-0.637273388983
3,9,0.116121967554
4,9,0.818090318765
5,9,-0.76266508776
6,9,-0.327398149749
7,9,-0.318383942263
8,9,0.782404485371
9,9,1.0
10,9,0.537809366724
1,10,-0.293847864277
2,10,-0.279391094385
3,10,-0.388337898994
4,10,0.190107817669
5,10,-0.238598527245
6,10,0.436582117636
7,10,0.552157380377
8,10,0.274275337896
9,10,0.537809366724
10,10,1.0

