#: table_doi: 10.17182/hepdata.84154.v2/t10
#: name: Table 10
#: description: Fiducial phase-space relative differential cross-sections after combining the e+jets and $\mu$+jets channels for the hadronic top-quark absolute rapidity $|y^{t}|$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_10.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DABSRAPIDITY_HADRONICTOP
#: keyword phrases: Inclusive | Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
ABSRAPIDITY_HADRONICTOP,ABSRAPIDITY_HADRONICTOP LOW,ABSRAPIDITY_HADRONICTOP HIGH,1/SIG*DSIG/DABSRAPIDITY_HADRONICTOP,stat +,stat -,sys +,sys -
0.05,0.0,0.1,0.840474,0.987%,-0.987%,0.843%,-0.91%
0.15000000000000002,0.1,0.2,0.822962,1.052%,-1.052%,0.738%,-0.66%
0.25,0.2,0.3,0.821716,1.039%,-1.039%,0.876%,-0.862%
0.35,0.3,0.4,0.805097,1.057%,-1.057%,1.679%,-1.987%
0.45,0.4,0.5,0.7668,1.097%,-1.097%,1.398%,-1.361%
0.55,0.5,0.6,0.730335,1.119%,-1.119%,1.724%,-1.64%
0.6499999999999999,0.6,0.7,0.702467,1.144%,-1.144%,1.727%,-1.58%
0.75,0.7,0.8,0.663586,1.185%,-1.185%,1.254%,-0.95%
0.8500000000000001,0.8,0.9,0.594399,1.261%,-1.261%,2.578%,-2.498%
0.95,0.9,1.0,0.551898,1.32%,-1.32%,1.627%,-1.641%
1.05,1.0,1.1,0.487776,1.401%,-1.401%,1.504%,-1.631%
1.15,1.1,1.2,0.429363,1.514%,-1.514%,1.558%,-1.741%
1.25,1.2,1.3,0.392499,1.578%,-1.578%,0.885%,-0.497%
1.35,1.3,1.4,0.334261,1.743%,-1.743%,2.526%,-2.475%
1.45,1.4,1.5,0.279508,1.953%,-1.953%,2.344%,-1.387%
1.6,1.5,1.7,0.202593,1.523%,-1.523%,1.274%,-1.424%
1.7999999999999998,1.7,1.9,0.116817,2.016%,-2.016%,1.831%,-2.415%
2.2,1.9,2.5,0.0230068,2.541%,-2.541%,2.427%,-2.801%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
ABSRAPIDITY_HADRONICTOP,ABSRAPIDITY_HADRONICTOP LOW,ABSRAPIDITY_HADRONICTOP HIGH,DSIG/DABSRAPIDITY_HADRONICTOP (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -"
0.05,0.0,0.1,0.840474,0.987%,-0.987%,0.045%,-0.032%,0.09%,-0.081%,0.011%,-0.011%,-0.422%,0.316%,0.0%,-0.037%,0.016%,-0.016%,0.056%,-0.09%,-0.003%,0.097%,0.0%,-0.043%,0.005%,0.0%,-0.412%,0.412%,0.006%,-0.001%,-0.001%,0.004%,0.009%,0.0%,0.043%,-0.045%,0.007%,0.0%,0.018%,-0.015%,0.212%,-0.212%,0.007%,0.0%,0.062%,-0.062%,-0.01%,0.01%,0.013%,-0.013%,0.045%,-0.036%,0.003%,-0.003%,0.009%,0.0%,-0.278%,0.166%,0.0%,-0.018%,-0.012%,0.005%,0.0%,-0.019%,0.008%,0.0%,0.0%,-0.014%,0.011%,0.0%,0.005%,0.0%,0.005%,0.0%,0.0%,-0.018%,0.076%,-0.076%,-0.06%,0.009%,0.008%,-0.008%,0.021%,-0.021%,0.264%,-0.153%,0.05%,-0.05%,-0.46%,0.46%,0.111%,-0.163%,-0.015%,0.015%,0.016%,-0.016%,0.0%,-0.006%,0.007%,0.0%,0.0%,-0.048%,0.0%,-0.027%,-0.025%,0.036%,-0.126%,0.108%,0.0%,-0.006%,0.239%,-0.239%,0.007%,0.0%,-0.19%,0.139%
0.15000000000000002,0.1,0.2,0.822962,1.052%,-1.052%,0.004%,0.0%,0.049%,-0.043%,0.014%,-0.014%,-0.301%,0.358%,0.0%,0.017%,0.014%,-0.014%,0.068%,-0.061%,0.214%,0.0%,0.0%,-0.008%,0.003%,0.0%,0.453%,-0.453%,0.01%,-0.009%,0.0%,0.013%,-0.004%,0.012%,0.088%,-0.065%,0.005%,0.0%,0.004%,-0.018%,0.143%,-0.143%,0.005%,0.0%,0.026%,-0.026%,-0.014%,0.014%,-0.011%,0.011%,0.068%,-0.064%,0.013%,-0.013%,-0.004%,0.008%,-0.186%,0.223%,0.01%,0.0%,0.006%,0.0%,0.051%,0.0%,-0.003%,0.009%,0.029%,0.0%,0.0%,-0.0%,0.003%,0.0%,0.003%,0.0%,0.005%,0.0%,0.089%,-0.089%,-0.064%,0.066%,0.007%,-0.007%,0.037%,-0.037%,0.027%,-0.003%,0.025%,-0.025%,0.201%,-0.201%,0.078%,-0.056%,-0.033%,0.033%,0.002%,-0.002%,0.018%,-0.015%,0.004%,0.0%,0.032%,0.0%,0.026%,0.0%,-0.052%,0.059%,-0.054%,0.037%,-0.016%,0.003%,0.258%,-0.258%,0.0%,-0.046%,0.0%,-0.041%
0.25,0.2,0.3,0.821716,1.039%,-1.039%,0.023%,-0.015%,0.008%,-0.002%,0.034%,-0.034%,-0.282%,0.276%,0.034%,0.0%,0.002%,-0.002%,0.072%,-0.035%,0.121%,0.0%,0.021%,-0.009%,0.003%,0.0%,0.239%,-0.239%,-0.016%,0.029%,0.02%,-0.004%,0.0%,-0.0%,-0.08%,0.051%,0.004%,0.0%,-0.003%,0.032%,-0.205%,0.205%,0.006%,0.0%,0.044%,-0.044%,-0.059%,0.059%,0.014%,-0.014%,0.054%,-0.049%,0.013%,-0.013%,-0.004%,0.009%,-0.172%,0.171%,0.048%,-0.004%,0.013%,0.0%,0.0%,-0.017%,-0.001%,0.008%,0.064%,-0.097%,0.006%,0.0%,0.003%,0.0%,0.003%,0.0%,0.055%,0.0%,-0.036%,0.036%,0.025%,-0.019%,0.006%,-0.006%,0.026%,-0.026%,0.0%,-0.119%,0.059%,-0.059%,-0.684%,0.684%,0.163%,-0.129%,0.04%,-0.04%,0.022%,-0.022%,-0.004%,0.05%,0.005%,0.0%,0.028%,0.0%,0.034%,0.0%,-0.031%,0.038%,0.048%,-0.004%,0.027%,0.0%,0.257%,-0.257%,0.045%,0.0%,-0.022%,0.054%
0.35,0.3,0.4,0.805097,1.057%,-1.057%,0.025%,-0.018%,0.048%,-0.042%,0.048%,-0.048%,-0.32%,0.273%,0.0%,-0.047%,0.016%,-0.016%,0.066%,-0.097%,0.0%,-0.183%,-0.007%,0.017%,0.003%,0.0%,1.256%,-1.256%,-0.009%,0.005%,0.0%,-0.015%,0.008%,0.0%,0.007%,0.0%,0.004%,0.0%,0.0%,-0.028%,0.331%,-0.331%,-0.002%,0.008%,-0.033%,0.033%,0.084%,-0.084%,0.002%,-0.002%,0.031%,-0.026%,-0.006%,0.006%,0.0%,-0.003%,0.007%,-0.017%,0.011%,-0.01%,0.0%,-0.009%,0.018%,-0.015%,-0.001%,0.007%,-0.04%,0.08%,0.007%,0.0%,0.003%,0.0%,0.003%,0.0%,0.0%,-0.005%,0.055%,-0.055%,0.019%,-0.029%,0.004%,-0.004%,0.032%,-0.032%,-1.169%,0.561%,0.015%,-0.015%,0.841%,-0.841%,0.0%,-0.098%,0.036%,-0.036%,0.007%,-0.007%,0.0%,-0.031%,0.006%,0.0%,-0.001%,0.009%,-0.015%,0.008%,-0.04%,0.047%,-0.064%,0.001%,0.0%,-0.019%,0.261%,-0.261%,-0.035%,0.011%,0.0%,-0.03%
0.45,0.4,0.5,0.7668,1.097%,-1.097%,0.03%,-0.033%,-0.027%,0.023%,-0.07%,0.07%,-0.212%,0.293%,0.056%,-0.025%,-0.023%,0.023%,0.082%,-0.015%,0.042%,-0.034%,0.0%,-0.057%,0.0%,-0.002%,1.033%,-1.033%,0.017%,-0.031%,0.012%,-0.015%,-0.011%,0.001%,0.079%,0.0%,0.0%,-0.003%,0.0%,-0.02%,0.143%,-0.143%,-0.006%,0.002%,0.002%,-0.002%,-0.026%,0.026%,-0.019%,0.019%,0.029%,-0.034%,0.001%,-0.001%,0.0%,-0.004%,-0.107%,0.121%,-0.053%,0.031%,0.0%,-0.018%,0.044%,0.0%,-0.006%,0.001%,0.05%,0.0%,0.0%,-0.002%,0.0%,-0.002%,0.0%,-0.002%,0.0%,-0.018%,-0.023%,0.023%,-0.093%,0.073%,0.0%,-0.0%,0.029%,-0.029%,0.529%,-0.501%,0.033%,-0.033%,-0.63%,0.63%,0.157%,-0.094%,-0.023%,0.023%,-0.009%,0.009%,0.03%,-0.036%,0.001%,-0.006%,0.0%,-0.062%,0.0%,-0.015%,-0.009%,0.005%,-0.103%,0.113%,0.011%,-0.011%,0.264%,-0.264%,0.02%,-0.008%,-0.049%,0.095%
0.55,0.5,0.6,0.730335,1.119%,-1.119%,-0.003%,0.008%,-0.005%,0.009%,0.018%,-0.018%,-0.164%,0.18%,0.043%,0.0%,0.012%,-0.012%,0.041%,-0.006%,-0.045%,0.15%,0.023%,-0.01%,0.002%,0.0%,-1.432%,1.432%,0.016%,0.0%,-0.013%,0.024%,0.006%,-0.008%,-0.096%,0.028%,0.002%,0.0%,0.028%,0.0%,0.098%,-0.098%,-0.002%,0.005%,0.118%,-0.118%,0.003%,-0.003%,-0.002%,0.002%,0.045%,-0.042%,-0.007%,0.007%,-0.001%,0.004%,0.0%,-0.121%,0.033%,0.0%,0.033%,0.0%,0.008%,0.0%,-0.002%,0.006%,0.0%,-0.056%,0.0%,-0.005%,0.002%,0.0%,0.002%,0.0%,0.056%,0.0%,0.091%,-0.091%,0.041%,-0.04%,-0.001%,0.001%,0.016%,-0.016%,0.584%,-0.219%,0.065%,-0.065%,-0.679%,0.679%,0.0%,-0.112%,0.034%,-0.034%,-0.005%,0.005%,0.028%,0.0%,0.003%,0.0%,-0.008%,0.06%,0.017%,0.0%,-0.019%,0.023%,0.0%,-0.082%,0.032%,0.0%,0.272%,-0.272%,0.068%,-0.012%,0.0%,-0.112%
0.6499999999999999,0.6,0.7,0.702467,1.144%,-1.144%,-0.003%,0.001%,0.044%,-0.046%,-0.059%,0.059%,-0.056%,0.1%,-0.02%,0.056%,0.017%,-0.017%,0.043%,-0.065%,-0.049%,0.058%,-0.007%,0.012%,0.0%,-0.001%,0.328%,-0.328%,0.006%,0.0%,0.009%,-0.005%,0.009%,0.0%,0.154%,0.0%,-0.002%,0.0%,-0.003%,0.029%,0.068%,-0.068%,-0.031%,0.03%,0.041%,-0.041%,-0.045%,0.045%,0.004%,-0.004%,0.012%,-0.014%,0.005%,-0.005%,0.006%,0.0%,0.156%,0.0%,0.012%,0.0%,-0.009%,0.007%,-0.011%,0.042%,-0.003%,0.001%,0.035%,-0.072%,0.0%,-0.005%,0.0%,-0.001%,0.0%,-0.001%,0.035%,0.0%,0.067%,-0.067%,0.092%,0.0%,-0.006%,0.006%,0.007%,-0.007%,0.608%,0.0%,0.02%,-0.02%,1.533%,-1.533%,0.135%,0.0%,-0.034%,0.034%,-0.01%,0.01%,-0.023%,0.008%,0.0%,-0.001%,0.05%,0.0%,0.048%,0.0%,-0.012%,0.011%,0.12%,0.0%,-0.011%,0.008%,0.281%,-0.281%,-0.04%,0.065%,0.106%,0.0%
0.75,0.7,0.8,0.663586,1.185%,-1.185%,0.0%,-0.004%,0.012%,-0.016%,0.075%,-0.075%,-0.014%,0.169%,0.024%,0.0%,-0.029%,0.029%,0.071%,-0.029%,-0.111%,0.024%,0.0%,-0.051%,0.0%,-0.002%,-0.433%,0.433%,0.005%,-0.011%,0.0%,-0.011%,0.0%,-0.023%,0.081%,0.0%,0.0%,-0.003%,0.039%,0.0%,-0.038%,0.038%,-0.02%,0.014%,0.002%,-0.002%,-0.025%,0.025%,0.005%,-0.005%,0.011%,-0.015%,0.008%,-0.008%,0.004%,-0.003%,0.11%,0.0%,0.0%,-0.011%,0.002%,-0.006%,-0.035%,0.012%,0.0%,-0.004%,0.076%,0.0%,0.0%,-0.002%,0.0%,-0.002%,0.0%,-0.002%,-0.006%,0.02%,-0.016%,0.016%,0.084%,0.0%,-0.001%,0.001%,0.022%,-0.022%,-0.76%,1.071%,-0.017%,0.017%,-0.33%,0.33%,0.165%,0.0%,-0.008%,0.008%,-0.001%,0.001%,0.008%,-0.012%,0.0%,-0.003%,0.0%,-0.028%,-0.012%,0.007%,-0.006%,0.002%,0.034%,0.0%,0.015%,-0.022%,0.291%,-0.291%,0.022%,0.0%,0.147%,0.0%
0.8500000000000001,0.8,0.9,0.594399,1.261%,-1.261%,0.012%,-0.006%,-0.029%,0.035%,-0.053%,0.053%,0.0%,-0.122%,0.0%,-0.032%,-0.018%,0.018%,0.0%,-0.041%,-0.107%,0.041%,0.026%,0.0%,0.003%,0.0%,-1.89%,1.89%,0.0%,-0.018%,0.009%,0.0%,0.009%,0.0%,0.0%,-0.128%,0.003%,0.0%,0.0%,-0.063%,-0.294%,0.294%,-0.01%,0.015%,0.05%,-0.05%,0.055%,-0.055%,-0.009%,0.009%,-0.002%,0.007%,0.003%,-0.003%,0.004%,-0.006%,0.015%,-0.074%,-0.015%,0.027%,0.0%,-0.021%,0.017%,0.0%,0.008%,-0.003%,0.0%,-0.061%,0.008%,0.0%,0.003%,0.0%,0.003%,0.0%,0.0%,-0.046%,-0.051%,0.051%,0.0%,-0.041%,0.0%,-0.0%,-0.039%,0.039%,0.953%,-0.63%,0.026%,-0.026%,-1.435%,1.435%,0.0%,-0.136%,-0.021%,0.021%,-0.009%,0.009%,0.0%,-0.026%,0.005%,0.0%,0.029%,-0.057%,0.0%,-0.076%,0.013%,-0.008%,0.0%,-0.104%,-0.026%,0.011%,0.307%,-0.307%,-0.018%,0.005%,0.0%,-0.085%
0.95,0.9,1.0,0.551898,1.32%,-1.32%,-0.013%,0.008%,-0.037%,0.034%,-0.039%,0.039%,0.048%,0.0%,0.049%,-0.022%,-0.016%,0.016%,0.048%,-0.01%,0.145%,-0.087%,0.0%,-0.052%,0.0%,-0.001%,1.124%,-1.124%,-0.01%,0.012%,-0.009%,0.002%,0.015%,0.0%,0.0%,-0.113%,0.0%,-0.003%,0.008%,0.0%,0.148%,-0.148%,-0.014%,0.012%,-0.014%,0.014%,0.065%,-0.065%,-0.019%,0.019%,-0.045%,0.043%,-0.008%,0.008%,0.0%,-0.005%,0.047%,-0.13%,-0.01%,0.001%,-0.003%,0.022%,-0.013%,0.005%,0.0%,-0.003%,0.059%,0.0%,0.0%,-0.002%,0.0%,-0.001%,0.0%,-0.001%,-0.052%,0.084%,-0.156%,0.156%,0.0%,0.015%,-0.005%,0.005%,0.01%,-0.01%,0.345%,-0.375%,0.026%,-0.026%,1.073%,-1.073%,-0.141%,0.034%,0.023%,-0.023%,0.005%,-0.005%,0.016%,0.0%,0.003%,-0.006%,0.017%,0.0%,-0.024%,0.043%,0.022%,-0.026%,0.0%,-0.048%,-0.01%,0.04%,0.32%,-0.32%,0.01%,-0.036%,0.085%,-0.105%
