#: table_doi: 10.17182/hepdata.84154.v2/t67
#: name: Table 67
#: description: Absolute statistics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the $t\bar{t}$ system azimuthal angle $\Delta \phi^{t\bar{t}}$.

#: data_file: Table_67.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
\Delta \phi^{t\bar{t}} bin,\Delta \phi^{t\bar{t}} bin,
1,1,1.0
2,1,-0.112380262104
3,1,-0.127942308753
4,1,0.0122197856853
1,2,-0.112380262104
2,2,1.0
3,2,0.058660229555
4,2,-0.12795072911
1,3,-0.127942308753
2,3,0.058660229555
3,3,1.0
4,3,-0.188542864601
1,4,0.0122197856853
2,4,-0.12795072911
3,4,-0.188542864601
4,4,1.0

