#: table_doi: 10.17182/hepdata.84154.v2/t181
#: name: Table 181
#: description: Statistical correlation matrix between $p_{T}^{t\bar{t}}$ (rows) in the 4-jet inclusive configuration and $p_{T}^{t\bar{t}}$ (columns) in the 4-jet inclusive configuration, obtained at parton level from absolute spectra through the Bootstrap Method. The binning is the following: Rows: [0-20, 20-45, 45-75, 75-120, 120-190, 190-300] GeV Columns: [0-20, 20-45, 45-75, 75-120, 120-190, 190-300] GeV

#: data_file: Table_181.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Single Differential Cross Section | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV),8000.0
column,row,BOOT_PT_TTBAR_4J2B_PT_TTBAR_4J2B (rows vs columns)
1,1,1
2,1,0.728678
3,1,-0.0637872
4,1,-0.355505
5,1,-0.248524
6,1,-0.0795603
1,2,0.728678
2,2,1
3,2,0.533814
4,2,-0.0849843
5,2,-0.286955
6,2,-0.147629
1,3,-0.0637872
2,3,0.533814
3,3,1
4,3,0.611609
5,3,-0.0502723
6,3,-0.168249
1,4,-0.355505
2,4,-0.0849843
3,4,0.611609
4,4,1
5,4,0.450501
6,4,-0.104407
1,5,-0.248524
2,5,-0.286955
3,5,-0.0502723
4,5,0.450501
5,5,1
6,5,0.233684
1,6,-0.0795603
2,6,-0.147629
3,6,-0.168249
4,6,-0.104407
5,6,0.233684
6,6,1

