#: table_doi: 10.17182/hepdata.84154.v2/t91
#: name: Table 91
#: description: Absolute statistics-only correlation matrix of the full phase-space differential cross-section as a function of the the $t\bar{t}$ system transverse momentum $p_{T}^{t\bar{t}}$.

#: data_file: Table_91.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
p_{T}^{t\bar{t}} bin,p_{T}^{t\bar{t}} bin,
1,1,1.0
2,1,0.715879508841
3,1,-0.0648243718341
4,1,-0.3300894845
5,1,-0.237957910804
6,1,-0.0944322920196
1,2,0.715879508841
2,2,1.0
3,2,0.545653517029
4,2,-0.0540084459951
5,2,-0.275008905231
6,2,-0.156922010493
1,3,-0.0648243718341
2,3,0.545653517029
3,3,1.0
4,3,0.616887783289
5,3,-0.0499657245816
6,3,-0.161482291228
1,4,-0.3300894845
2,4,-0.0540084459951
3,4,0.616887783289
4,4,1.0
5,4,0.43750174859
6,4,-0.123584546913
1,5,-0.237957910804
2,5,-0.275008905231
3,5,-0.0499657245816
4,5,0.43750174859
5,5,1.0
6,5,0.199050715913
1,6,-0.0944322920196
2,6,-0.156922010493
3,6,-0.161482291228
4,6,-0.123584546913
5,6,0.199050715913
6,6,1.0

