#: table_doi: 10.17182/hepdata.84154.v2/t219
#: name: Table 219
#: description: Statistical correlation matrix between $y_{boost}$ (rows) in the 4-jet inclusive configuration and $|y^{t\bar{t}}|$ (columns) in the 4-jet inclusive configuration, obtained at parton level from relative spectra through the Bootstrap Method. The binning is the following: Rows: [0-0.1, 0.1-0.2, 0.2-0.3, 0.3-0.4, 0.4-0.5, 0.5-0.6, 0.6-0.7, 0.7-0.8, 0.8-0.9, 0.9-1, 1-1.1, 1.1-1.2, 1.2-1.3, 1.3-1.4, 1.4-1.5, 1.5-2] GeV Columns: [0-0.3, 0.3-0.6, 0.6-0.9, 0.9-1.3, 1.3-2.5]

#: data_file: Table_219.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Single Differential Cross Section | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV),8000.0
column,row,BOOT_YBOOST_4J2B_ABSY_TTBAR_4J2B (rows vs columns)
1,1,0.686851
2,1,-0.277236
3,1,-0.369812
4,1,-0.180578
5,1,-0.0665159
1,2,0.833754
2,2,-0.274387
3,2,-0.469479
4,2,-0.25643
5,2,-0.0921697
1,3,0.612085
2,3,0.00900446
3,3,-0.417211
4,3,-0.311791
5,3,-0.105689
1,4,0.0938738
2,4,0.493959
3,4,-0.222594
4,4,-0.338563
5,4,-0.118809
1,5,-0.2497
2,5,0.738731
3,5,-0.0304609
4,5,-0.333012
5,5,-0.135987
1,6,-0.390619
2,6,0.637354
3,6,0.211174
4,6,-0.272998
5,6,-0.156375
1,7,-0.438002
2,7,0.266639
3,7,0.559459
4,7,-0.14779
5,7,-0.190585
1,8,-0.428439
2,8,-0.0488458
3,8,0.769848
4,8,-0.0219959
5,8,-0.213851
1,9,-0.385927
2,9,-0.220286
3,9,0.696095
4,9,0.169931
5,9,-0.194108
1,10,-0.314848
2,10,-0.301534
3,10,0.34775
4,10,0.476525
5,10,-0.1237
1,11,-0.246409
2,11,-0.330367
3,11,0.0273716
4,11,0.716058
5,11,-0.0742283
1,12,-0.191598
2,12,-0.316517
3,12,-0.158775
4,12,0.796905
5,12,-0.0389331
1,13,-0.155444
2,13,-0.274883
3,13,-0.229719
4,13,0.6766
5,13,0.0957722
1,14,-0.123731
2,14,-0.205922
3,14,-0.235799
4,14,0.328517
5,14,0.411058
1,15,-0.102865
2,15,-0.160707
3,15,-0.211003
4,15,0.0252084
5,15,0.677214
1,16,-0.0671859
2,16,-0.101851
3,16,-0.165115
4,16,-0.230946
5,16,0.805039

